"alg-geom/9401009","Shelly Cook","Michele Cook","The Connectedness of Space Curve Invariants","18 pages, Latex v2.09",,,,"alg-geom math.AG",,"  It is a result of Gruson and Peskine that the invariants of a set points in
$\ptwo$ in general position are connected. Associated to a space curve there
are sequences of invariants which generalize the invariants of points in
$\ptwo$. The main result of this paper is to show that the invariants of
reduced, irreducible, non-degenerate curves in $\pthree$ also satisfy a
connectedness property. This result greatly restricts the kinds of Borel-fixed
monomial ideals which can occur as generic initial ideals of such curves and
thus gives us more control over their Hilbert functions.
","[{""version"":""v1"",""created"":""Fri, 28 Jan 1994 18:19:12 GMT""}]","2008-02-03"
"astro-ph/9401050","Rennan Bar-Kana","R. Bar-Kana","Limits on Direct Detection of Gravitational Waves","10 pages inc. 3 figures, LaTeX file + 3 figures in tarred,
  compressed, uuencoded PostScript, CSR-AT-94-2","Phys.Rev. D50 (1994) 1157-1160","10.1103/PhysRevD.50.1157",,"astro-ph gr-qc",,"  We compute energy density and strain induced by a primordial spectrum of
gravitational waves on terrestrial- and space-based detectors (e.g., LIGO) as
constrained by the COBE detection of microwave background anisotropy. For the
case where the spectrum is created during inflation, we find new, stricter
upper bounds on the induced strain, making detection unlikely. However,
detectors might be useful for discovering (or ruling out) exotic,
non-inflationary sources.
","[{""version"":""v1"",""created"":""Fri, 28 Jan 1994 17:38:46 GMT""}]","2009-10-22"
"comp-gas/9401002","Daniel Martinez","Daniel Martinez, Shiyi Chen (Theoretical Division and Center for
  Nonlinear Studies, Los Alamos National Laboratory) and William Matthaeus
  (Bartol Research Institute, University of Delaware, Newark, DE)","Lattice Boltzmann Magnetohydrodynamics","45 pages, to appear in Physics of Plasmas",,"10.1063/1.870640","LA-UR-93-4510","comp-gas nlin.CG",,"  Lattice gas and lattice Boltzmann methods are recently developed numerical
schemes for simulating a variety of physical systems. In this paper a new
lattice Boltzmann model for modeling two-dimensional incompressible
magnetohydrodynamics (MHD) is presented. The current model fully utilizes the
flexibility of the lattice Boltzmann method in comparison with previous lattice
gas and lattice Boltzmann
  MHD models, reducing the number of moving directions from $36$ in other
models to $12$ only. To increase computational efficiency, a simple single time
relaxation rule is used for collisions, which directly controls the transport
coefficients.
  The bi-directional streaming process of the particle distribution function in
this paper is similar to the original model [ H. Chen and W. H. Matthaeus,
Phys. Rev. Lett., {\bf 58}, 1845(1987), S.Chen, H.Chen, D.Mart\'{\i}nez and
W.H.Matthaeus, Phys. Rev. Lett. {\bf 67},3776 (1991)], but has been greatly
simplified, affording simpler implementation of boundary conditions and
increasing the feasibility of extension into a workable three-dimensional
model. Analytical expressions for the transport coefficients are presented.
Also, as example cases, numerical calculation for the Hartmann flow is
performed, showing a good agreement between the theoretical
","[{""version"":""v1"",""created"":""Fri, 28 Jan 1994 17:33:32 GMT""},{""version"":""v2"",""created"":""Fri, 4 Feb 1994 15:28:18 GMT""}]","2009-10-22"
"comp-gas/9401003","Shiyi Chen","Shuling Hou, Qisu Zou, Shiyi Chen, Gary D. Doolen and Allen C. Cogley
  (Center for Nonlinear Studies and Theoretical Division Los Alamos National
  Laboratory, Los Alamos, NM)","Simulation of Cavity Flow by the Lattice Boltzmann Method","Submitted to J. Comput. Physics, latex",,"10.1006/jcph.1995.1103",,"comp-gas nlin.CG",,"  A detailed analysis is presented to demonstrate the capabilities of the
lattice Boltzmann method. Thorough comparisons with other numerical solutions
for the two-dimensional, driven cavity flow show that the lattice Boltzmann
method gives accurate results over a wide range of Reynolds numbers. Studies of
errors and convergence rates are carried out. Compressibility effects are
quantified for different maximum velocities, and parameter ranges are found for
stable simulations. The paper's objective is to stimulate further work using
this relatively new approach for applied engineering problems in transport
phenomena utilizing parallel computers.
","[{""version"":""v1"",""created"":""Fri, 28 Jan 1994 18:44:45 GMT""}]","2009-10-22"
"comp-gas/9401004","Shiyi Chen","S. Hou, J. Sterling, S. Chen and G. D. Doolen (Theoretical Division
  and Center for Nonlinear Studies Los Alamos National Laboratory, Los Alamos,
  NM)","A Lattice Boltzmann Subgrid Model for High Reynolds Number Flows","latex",,,,"comp-gas nlin.CG",,"  A subgrid turbulence model for the lattice Boltzmann method is proposed for
high Reynolds number fluid flow applications. The method, based on the standard
Smagorinsky subgrid model and a single-time relaxation lattice Boltzmann
method, incorporates the advantages of the lattice Boltzmann method for
handling arbitrary boundaries and is easily implemented on parallel machines.
The method is applied to a two-dimensional driven cavity flow for studying
dynamics and the Reynolds number dependence of the flow structures. The
substitution of other subgrid models, such as the dynamic subgrid model, in the
framework of the LB method is discussed.
","[{""version"":""v1"",""created"":""Fri, 28 Jan 1994 18:50:06 GMT""}]","2008-02-03"
"cond-mat/9401067","Lotfi Belkhir","Lotfi Belkhir","Quantum and Many-Body Effects on the Capacitance of a Quantum Dot","7 pages RevTex, 5 figures on request",,"10.1103/PhysRevB.50.8885",,"cond-mat",,"  We calculate exactly, using finite size techniques, the quantum mechanical
and many-body effects to the self-capacitance of a spherical quantum dot in the
regime of extreme confinement, where the radius of the sphere is much smaller
than the effective Bohr radius. We find that the self-capacitance oscillates as
a function of the number of electrons close to its classical value. We also
find that the electrostatic energy extrapolates to zero when $N=1$, suggesting
that the energy scales like $e^{2}N(N-1)$. This establishes, at least for this
configuration, that the semiclassical description of Coulomb charging effects
in terms of capacitances holds to a good approximation even at very small
scales.
","[{""version"":""v1"",""created"":""Fri, 28 Jan 1994 18:26:21 GMT""}]","2009-10-22"
"cond-mat/9401068","Raphael Blumenfeld","Raphael Blumenfeld (Princeton Materials Institute, Princeton
  University)","Two-dimensional Laplacian growth can be mapped onto Hamiltonian dynamics","11 pages, tex, 1 postscript figure not included (available upon
  request), (This version less than 80 characters per line)",,"10.1016/0375-9601(94)91177-0","LA-UR-93-2800","cond-mat nlin.PS patt-sol",,"  It is shown that the dynamics of the growth of a two dimensional surface in a
Laplacian field can be mapped onto Hamiltonian dynamics. The mapping is carried
out in two stages: first the surface is conformally mapped onto the unit
circle, generating a set of singularities. Then the dynamics of these
singularities are transformed to Hamiltonian action-angle variables. An
explicit condition is given for the existence of the transformation. This
formalism is illustrated by solving explicitly for a particular case where the
result is a separable and integrable Hamiltonian.
","[{""version"":""v1"",""created"":""Fri, 28 Jan 1994 20:36:23 GMT""},{""version"":""v2"",""created"":""Mon, 31 Jan 1994 20:06:38 GMT""}]","2009-10-22"
"cond-mat/9401069","Raphael Blumenfeld","Raphael Blumenfeld (CNLS, Los Alamos Nat'l Lab., Los Alamos, NM)","Towards a theory of growing surfaces: Mapping two-dimensional Laplacian
  growth onto Hamiltonian dynamics and statistics","17 pages, tex, 1 postscript figure not included (available upon
  request), (This version has less than 80 characters per line)",,,"LA-UR-93-3591","cond-mat nlin.PS patt-sol",,"  I show that the evolution of a two dimensional surface in a Laplacian field
can be described by Hamiltonian dynamics. First the growing region is mapped
conformally to the interior of the unit circle, creating in the process a set
of mathematical zeros and poles that evolve dynamically as the surface grows.
Then the dynamics of these quasi-particles is analysed. A class of arbitrary
initial conditions is discussed explicitly, where the surface-tension-free
Laplacian growth process is integrable. This formulation holds only as long as
the singularities of the map are confined to within the unit circle. But the
Hamiltonian structure further allows for surface tension to be introduced as an
energetic term that effects repulsion between the quasi-particles and the
surface. These results are used to formulate a first-principles statistical
theory of pattern formation in stochastic growth, where noise is a key player.
","[{""version"":""v1"",""created"":""Fri, 28 Jan 1994 20:36:41 GMT""},{""version"":""v2"",""created"":""Mon, 31 Jan 1994 20:08:13 GMT""}]","2008-02-03"
"cond-mat/9401070","Zhang Guang Ming","G. M. Zhang, S. Feng, and L. Yu","Strong-Coupling Behavior of Two $t-J$ Chains with Interchain Single
  Electron Hopping","12 pages, no figures, revtex 3.0, (to appaer in Phys. Rev. B), ICTP
  preprint 1993",,,,"cond-mat",,"  Using the fermion-spin transformation to implement spin-charge separation of
constrained electrons, a model of two $t-J$ chains with interchain
single-electron hopping is studied by abelian bosonization. After spin-charge
decoupling the charge dynamics can be trivially solved, while the spin dynamics
is determined by a strong-coupling fixed point where the correlation functions
can be calculated explicitly. This is a generalization of the Luther-Emery line
for two-coupled $t-J$ chains. The interchain single-electron hopping changes
the asymptotic behavior of the interchain spin-spin correlation functions and
the electron Green function, but their exponents are independent of the
coupling strength.
","[{""version"":""v1"",""created"":""Sat, 29 Jan 1994 13:55:33 GMT""}]","2007-05-23"
"gr-qc/9401033","Andrew L. Berkin","Andrew L. Berkin and Ronald W. Hellings","Multiple Field Scalar-Tensor Theories of Gravity and Cosmology","17 pages","Phys.Rev.D49:6442-6449,1994","10.1103/PhysRevD.49.6442",,"gr-qc",,"  We consider multiple scalar fields coupled to gravity, with special attention
given to two-field theories. First, the conditions necessary for these theories
to meet solar system tests are given. Next, we investigate the cosmological
evolution of the fields to see if these conditions can be met. Solutions are
found in the dust era, as well as radiation and cosmological constant dominated
epochs. The possibility of inflation in these theories is discussed. While
power law growth of the scalar fields can yield the appropriate conditions to
meet solar system constraints, these solutions are unstable.
","[{""version"":""v1"",""created"":""Fri, 28 Jan 1994 23:22:26 GMT""}]","2010-11-01"
"hep-ph/9401350",,"Gerhard Buchalla","$K^+\to\pi^+\nu\bar\nu$ Beyond Leading Logs and $V_{td}$","5 pages, MPI-PhT/94-3",,,,"hep-ph",,"  The calculation of QCD corrections beyond the leading logarithmic
approximation for the short-distance dominated rare decay
$K^+\to\pi^+\nu\bar\nu$ is summarized. This analysis requires the complete
${\cal O}(\alpha_s)$ corrections to the top contribution to all orders in the
top-quark mass and a two-loop renormalization group (RG) calculation for the
charm contribution. The inclusion of these QCD corrections reduces considerably
the theoretical uncertainty in calculating $B(K^+\to\pi^+\nu\bar\nu)$.
Implications for the determination of $V_{td}$ from this decay are discussed.
","[{""version"":""v1"",""created"":""Fri, 28 Jan 1994 17:27:00 GMT""}]","2007-05-23"
