"alg-geom/9405014","Eckhard Meinrenken","Eckhard Meinrenken","On Riemann-Roch Formulas for Multiplicities","21 pages, AMS-LaTeX",,,,"alg-geom math.AG",,"  A Theorem due to Guillemin and Sternberg about geometric quantization of
Hamiltonian actions of compact Lie groups $G$ on compact Kaehler manifolds says
that the dimension of the $G$-invariant subspace is equal to the Riemann-Roch
number of the symplectically reduced space. Combined with the shifting-trick,
this gives explicit formulas for the multiplicities of the various irreducible
components. One of the assumptions of the Theorem is that the reduction is
regular, so that the reduced space is a smooth symplectic manifold. In this
paper, we prove a generalization of this result to the case where the reduced
space may have orbifold singularities. Our proof uses localization techniques
from equivariant cohomology, and relies in particular on recent work of
Jeffrey-Kirwan and Guillemin. Since there are no complex geometry arguments
involved, the result also extends to non Kaehlerian settings.
","[{""version"":""v1"",""created"":""Mon, 30 May 1994 16:08:06 GMT""},{""version"":""v2"",""created"":""Mon, 14 Nov 1994 09:48:48 GMT""}]","2008-02-03"
"astro-ph/9405069","Isabella Gioia","I.M. Gioia and G.A. Luppino","The EMSS catalog of X-ray-selected clusters of galaxies. I. An atlas of
  CCD images of 41 distant clusters","20 pages, LaTeX Version 2.09, IfA-94/6","Astrophys.J.Suppl.94:583,1994","10.1086/192083",,"astro-ph",,"  An atlas of deep, wide-field R-band CCD images of a complete sample of
distant, X-ray-selected clusters of galaxies is presented. These clusters are
the 41 most distant (z>= 0.15) and most X-ray luminous (Lx >= 2x10**44 erg\s-1)
clusters in the Einstein Observatory Extended Medium Sensitivity Survey (EMSS)
catalog that are observable from Mauna Kea (delta > -40 deg). The sample spans
a redshift range of 0.15 <= z < 0.81 and includes at least 2 and possibly as
many as 6 rich clusters with z>0.5. For the most part, the data are of superior
quality, with a median seeing of 0''.8 FWHM and coverage of at least 1 Mpc X 1
Mpc in the cluster frame (Ho=50; q0=1/2). In addition, we update the available
optical, X-ray and radio data on the entire EMSS sample of 104 clusters. We
outline the cluster selection criteria in detail, and emphasize that
X-ray-selected cluster samples may prove to be more useful for cosmological
studies than optically selected samples. The EMSS cluster sample in particular
can be exploited for diverse cosmological investigations, as demonstrated by
the detection of evolution in the X-ray luminosity function previously
reported, and more recently by the discovery of a large number of
gravitationally lensed images in these clusters.
","[{""version"":""v1"",""created"":""Tue, 31 May 1994 02:59:48 GMT""}]","2008-11-26"
"astro-ph/9405070","P. Monaco","Pierluigi Monaco","Observational Support for the Gurzadyan-Kocharyan Relation in Clusters
  of Galaxies","5 pages, uuencoded postscript file with figures, SISSA Preprint
  72/94/A, A&A Letters in press",,,,"astro-ph",,"  We show that observational data for four Abell clusters of galaxies support
the Gur\-za\-dyan-Kocharyan relation between the Hausdorff dimension and the
dynamical properties of a galaxy system. The Hausdorff dimension is calculated
using the two-point correlation function, while the dynamical parameters are
estimated using available data and reasonable assumptions on the mass function
of galaxies. This result can have essential consequences in the understanding
of the dynamical mechanisms that determine the fractal distribution of
galaxies.
","[{""version"":""v1"",""created"":""Tue, 31 May 1994 09:31:28 GMT""}]","2007-05-23"
"astro-ph/9405071","Avi Loeb","A. Loeb, F.A. Rasio, and J. Shaham","Ejection of Fragments in Supernova Explosions","8 pages, TEX, IAS preprint",,,,"astro-ph",,"  Recent observations by the ROSAT X-ray satellite of the Vela supernova
remnant have revealed, in addition to the previously identified compact nebula,
a nearly circular emitting region with a radius of about 4 degrees. The Vela
pulsar is slightly off the center of this circular region, consistent with its
measured proper motion of about 100km/s and an age of about 10^4 yr. The
emitting region is bounded by the main supernova shock. Just outside the shock,
the X-ray image reveals several well-defined V-shaped features extending
radially outwards. These features are most likely wakes produced by objects
moving supersonically through the outside medium. The shapes and orientations
of the wakes suggest that these objects have been ejected from the center of
the supernova explosion. Their present positions indicate that they have been
moving with a mean velocity of a few thousand km/s. We show that pre-existing
objects, such as planets in orbit around the progenitor star, could not have
been accelerated to sufficiently high velocities or would have been destroyed.
Instead, we propose that the observed objects are fragments ejected during the
formation of the neutron star. Fragmentation during gravitational collapse is a
natural consequence of both convective and rotational instabilities.
","[{""version"":""v1"",""created"":""Tue, 31 May 1994 13:38:32 GMT""}]","2007-05-23"
"cmp-lg/9405032","Michael Gasser","Michael Gasser (Indiana University)","Modularity in a Connectionist Model of Morphology Acquisition","7 pages, uuencoded compressed Postscript file","Proceedings of COLING 94",,,"cmp-lg cs.CL",,"  This paper describes a modular connectionist model of the acquisition of
receptive inflectional morphology. The model takes inputs in the form of phones
one at a time and outputs the associated roots and inflections. In its simplest
version, the network consists of separate simple recurrent subnetworks for root
and inflection identification; both networks take the phone sequence as inputs.
It is shown that the performance of the two separate modular networks is
superior to a single network responsible for both root and inflection
identification. In a more elaborate version of the model, the network learns to
use separate hidden-layer modules to solve the separate tasks of root and
inflection identification.
","[{""version"":""v1"",""created"":""Mon, 30 May 1994 20:54:14 GMT""}]","2008-02-03"
"cmp-lg/9405033","John Carroll","John Carroll (University of Cambridge, Computer Laboratory)","Relating Complexity to Practical Performance in Parsing with
  Wide-Coverage Unification Grammars","8 pages, LaTeX source (one figure not included) To appear in ACL-94","32nd Annual Meeting of the ACL, 287-294",,,"cmp-lg cs.CL",,"  The paper demonstrates that exponential complexities with respect to grammar
size and input length have little impact on the performance of three
unification-based parsing algorithms, using a wide-coverage grammar. The
results imply that the study and optimisation of unification-based parsing must
rely on empirical data until complexity theory can more accurately predict the
practical behaviour of such parsers.
","[{""version"":""v1"",""created"":""Tue, 31 May 1994 11:37:32 GMT""}]","2008-02-03"
"cond-mat/9405088",,"H. Kinzelbach and M. Lassig","Depinning in a Random Medium","11 pages (latex) with one figure (now printable, no other changes)",,"10.1088/0305-4470/28/23/009",,"cond-mat",,"  We develop a renormalized continuum field theory for a directed polymer
interacting with a random medium and a single extended defect. The
renormalization group is based on the operator algebra of the pinning
potential; it has novel features due to the breakdown of hyperscaling in a
random system. There is a second-order transition between a localized and a
delocalized phase of the polymer; we obtain analytic results on its critical
pinning strength and scaling exponents. Our results are directly related to
spatially inhomogeneous Kardar-Parisi-Zhang surface growth.
","[{""version"":""v1"",""created"":""Mon, 30 May 1994 19:12:42 GMT""},{""version"":""v2"",""created"":""Wed, 8 Jun 1994 13:06:52 GMT""}]","2009-10-22"
"cond-mat/9405089","Hyoungsoo Yoon","J.M. Deutsch and Hyoungsoo Yoon","Simulation of forces on polymers due to slippage","18 pages including 7 figures, LaTeX v2.09 and psfig v1.8,
  UCSC-JMDHY-94002",,"10.1063/1.469036",,"cond-mat",,"  We consider the force on the end of a polymer chain being pulled through a
network at velocity $v$, using computer simulations. We develop algorithms for
measuring the force on the end of the chain using lattice models of polymers.
Our algorithm attaches a spring to the end being pulled and uses its average
extension to calculate the force. General problems associated with the use of
lattice models in obtaining forces are discussed. Variants of this method are
used to obtain upper and lower bounds to the force. The results obtained are in
agreement with recent analytical predictions and experiments.
","[{""version"":""v1"",""created"":""Tue, 31 May 1994 11:12:44 GMT""}]","2009-10-22"
"cond-mat/9405090","D. P. Chu","D. P. Chu and P. N. Butcher","On the Non-invasive Measurement of the Intrinsic Quantum Hall Effect","16 pages LaTex, 2 post-script figures available on request",,"10.1103/PhysRevLett.72.3698",,"cond-mat",,"  With a model calculation, we demonstrate that a non-invasive measurement of
intrinsic quantum Hall effect defined by the local chemical potential in a
ballistic quantum wire can be achieved with the aid of a pair of voltage leads
which are separated by potential barriers from the wire. B\""uttiker's formula
is used to determine the chemical potential being measured and is shown to
reduce exactly to the local chemical potential in the limit of strong potential
confinement in the voltage leads. Conditions for quantisation of Hall
resistance and measuring local chemical potential are given.
","[{""version"":""v1"",""created"":""Tue, 31 May 1994 13:50:42 GMT""}]","2009-10-22"
"gr-qc/9405072","Haret Rosu","H.C. Rosu","Black hole thermal effects in the scattering picture","4 pages, LaTex, revised and updated",,,,"gr-qc",,"  In the scattering picture, thermal radiation effects may be associated with
the `above barrier' reflection coefficient, which comes into play because of
complex turning points. This note contains several general remarks on the
application of the above statement to Schwarzschild black hole radiance
","[{""version"":""v1"",""created"":""Mon, 30 May 1994 18:17:00 GMT""},{""version"":""v2"",""created"":""Mon, 14 Jun 1999 02:53:48 GMT""}]","2008-02-03"
"gr-qc/9405073","Ranjeet S. Tate","A. Ashtekar and Ranjeet S. Tate","An algebraic extension of Dirac quantization: Examples","43 pages, Latex, CGPG-94/6-1. (References added; particularly to
  earlier work by C.J.Isham using group theoretic ideas, in the introduction.)","J.Math.Phys. 35 (1994) 6434-6470","10.1063/1.530684",,"gr-qc hep-th",,"  An extension of the Dirac procedure for the quantization of constrained
systems is necessary to address certain issues that are left open in Dirac's
original proposal. These issues play an important role especially in the
context of non-linear, diffeomorphism invariant theories such as general
relativity. Recently, an extension of the required type was proposed by one of
us using algebraic quantization methods. In this paper, the key conceptual and
technical aspects of the algebraic program are illustrated through a number of
finite dimensional examples. The choice of examples and some of the analysis is
motivated by certain peculiar problems endemic to quantum gravity. However,
prior knowledge of general relativity is not assumed in the main discussion.
Indeed, the methods introduced and conclusions arrived at are applicable to any
system with first class constraints. In particular, they resolve certain
technical issues which are present also in the reduced phase space approach to
quantization of these systems.
","[{""version"":""v1"",""created"":""Tue, 31 May 1994 03:25:24 GMT""},{""version"":""v2"",""created"":""Tue, 7 Jun 1994 22:47:24 GMT""}]","2009-10-22"
