"adap-org/9410006","Bernardo Huberman","Bernardo A. Huberman, and Tad Hogg (Dynamics of Computation, Xerox
  Palo Alto Research Center, Palo Alto, CA. 94304)","Communities of Practice: Performance and Evolution","23 pages, postcript, uuencoded",,,,"adap-org nlin.AO",,"  We present a detailed model of collaboration in communities of practice and
we examine its dynamical consequences for the group as a whole. We establish
the existence of a novel mechanism that allows the community to naturally adapt
to growth, specialization, or changes in the environment without the need for
central controls. This mechanism relies on the appearance of a dynamical
instability that initates an exploration of novel interactions, eventually
leading to higher performance for the community as a whole.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 22:39:16 GMT""},{""version"":""v2"",""created"":""Fri, 28 Oct 1994 17:53:38 GMT""}]","2008-02-03"
"alg-geom/9410028","Rick Miranda","Bruce Crauder and Rick Miranda","Quantum Cohomology of Rational Surfaces","31 pages, AMS-LaTeX Version 1.1",,,,"alg-geom math.AG",,"  In this article formulas for the quantum product of a rational surface are
given, and used to give an algebro-geometric proof of the associativity of the
quantum product for strict Del Pezzo surfaces, those for which $-K$ is very
ample. An argument for the associativity in general is proposed, which also
avoids resorting to the symplectic category. The enumerative predictions of
Kontsevich and Manin concerning the degree of the rational curve locus in a
linear system are recovered. The associativity of the quantum product for the
cubic surface is shown to be essentially equivalent to the classical
enumerative facts concerning lines: there are $27$ of them, each meeting $10$
others.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 15:01:42 GMT""}]","2008-02-03"
"alg-geom/9410029","Marco Andreatta","M. Andreatta, M. Mella","Contractions on a manifold polarized by an ample vector bundle","18 pages, LateX",,,,"alg-geom math.AG",,"  A complex manifold $X$ of dimension $n$ together with an ample vector bundle
$E$ on it will be called a {\sf generalized polarized variety}. The adjoint
bundle of the pair $(X,E)$ is the line bundle $K_X + det(E)$. We study the
positivity (the nefness or ampleness) of the adjoint bundle in the case $r :=
rank (E) = (n-2)$. If $r\geq (n-1)$ this was previously done in a series of
paper by Ye-Zhang, Fujita, Andreatta-Ballico-Wisniewski.
  If $K_X+detE$ is nef, then by the Kawamata-Shokurov base point free theorem,
it supports a contraction; i.e. a map $\pi :X \longrightarrow W$ from $X$ onto
a normal projective variety $W$ with connected fiber and such that $K_X +
det(E) = \pi^*H$, for some ample line bundle $H$ on $W$. We describe those
contractions for which $dimF \leq (r-1)$. We extend this result to the case in
which $X$ has log terminal singualarities. In particular this gives the Mukai's
conjecture1 for singular varieties. We consider also the case in which $dimF =
r$ for every fibers and $\pi$ is birational. Hard copies of the paper are
available.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 15:54:28 GMT""}]","2015-06-30"
"astro-ph/9410081","Arthur Kosowsky","Scott Dodelson (Fermilab) and Arthur Kosowsky (University of Chicago
  and CFA)","Analysis of Small and Medium-Scale Cosmic Microwave Background
  Experiments","10 pages plus 3 figures, 108 Kb as uuencoded compressed postscript
  (tex file or old-fashioned copies available from akosowsky@cfa.harvard.edu).
  FNAL--Pub-94/357-A","Phys.Rev.Lett. 75 (1995) 604-607","10.1103/PhysRevLett.75.604",,"astro-ph",,"  Anisotropies in the temperature of the cosmic microwave background have been
detected on a range of scales by several different experiments. These
anisotropies reflect the primordial spectrum of metric perturbations in the
early universe. In principle, the largest barrier to a clean interpretation of
the experimental results is contamination by foreground sources. We address
this issue by projecting out likely sources of foreground contamination {}from
seven separate small-angle and medium-angle experiments. We then calculate
likelihood functions for models with adiabatic perturbations, first for the
amplitude of the spectrum while constraining the spectral index to be $n=1$,
and then jointly for the amplitude and spectrum of the fluctuations. All of the
experiments are so far consistent with the simplest inflationary models; for
$n=1$ the experiments' combined best-fit quadrupole amplitude is $Q_{\rm
rms-ps}= 18^{+3}_{-1} \,\,\mu K$, in excellent agreement with the COBE two-year
data. In ($Q_{\rm rms-ps}$, n) space, the allowed region incorporating
intermediate and small-scale experiments is substantially more constrained than
{}from COBE alone. We briefly discuss the expected improvement in the data in
the near future and corresponding constraints on cosmological models.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 18:09:39 GMT""}]","2009-10-22"
"astro-ph/9410082","Annapurni Subramaniam","Annapurni Subramaniam, Ram Sagar","Young LMC star clusters as a test for stellar evolutionary models:","10 pages, Latex file (A&A style), 6 figures upon request
  (purni@iiap.ernet.in). Accepted in A&A",,,,"astro-ph",,"  We compare the observed colour-magnitude diagrams (CMD) and the main sequence
luminosity functions (LFs) of four Large Magellanic Cloud (LMC) star clusters
namely, NGC 1711, NGC 2004, NGC 2164 and NGC 2214 with the synthetic ones
derived from the stellar evolutionary models. Four different types of stellar
evolutionary models have been used for comparison. The comparison of the
features of the observed CMDs with the synthetic ones favour the overshoot
models from Bressan et al. (1993). The synthetic integrated luminosity
functions from the models can be matched with the observed ones by varying the
value of mass function slopes. In order to constrain the models from the
comparison of the synthetic ILFs with the observed ones, reliable estimates of
mass function slope and binary fraction are desired.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 09:46:58 GMT""}]","2007-05-23"
"astro-ph/9410083",,"Andrew R Liddle","Inflation as the Unique Causal Mechanism for Generating Density
  Perturbations on Scales Well Above the Hubble Radius","5 pages uuencoded postscript (LaTeX file available from author),
  SUSSEX-AST 94/10-2","Phys.Rev.D51:5347-5351,1995","10.1103/PhysRevD.51.5347",,"astro-ph",,"  An examination is made of the widely held belief that inflation is the only
possible causal mechanism capable of generating density perturbations on scales
well in excess of the Hubble radius. A simple proof is given, which relies only
on the assumption that our understanding of the universe from nucleosynthesis
onwards is correct. No assumption of the underlying gravitational theory is
necessary beyond that it is a metric theory.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 11:48:00 GMT""},{""version"":""v2"",""created"":""Thu, 27 Oct 1994 12:12:00 GMT""}]","2010-01-06"
"astro-ph/9410084","Garrelt Mellema","Garrelt Mellema and Adam Frank","Hot bubble and slow wind dynamics in PNe (Radiation-gasdynamics of PNe
  V)","11 pages as an uuencoded compressed postscript file with figures.
  Accepted for publication in the MNRAS",,,,"astro-ph",,"  This paper looks into various aspects brought to light by numerical work on
the generalized interacting winds model for planetary nebulae. First, a
detailed comparison between radiative and non-radiative models is made, showing
that one's naive expectations of the effects of radiative heating and cooling
are not always true. Secondly, we consider the evolution of the slow wind after
it has gotten ionized. It is found that the initial aspherical density
distribution is smoothed out after ionization, thus requiring the aspherical
nebula to be formed within the first few thousand years of PN evolution.
Thirdly, the nature of the flow in the hot bubble is investigated. Both one and
two-dimensional numerical models show strong signs of instabilities or
turbulent flow in the hot bubble. Although observationally hard to prove or
disprove this turbulent structure is critically examined. It is found that
although the turbulence is not a numerical artifact, the full three-dimensional
picture will most definitely differ from what is found in two dimensions. The
implications for the interpretation of the models are discussed. Finally, the
issue of the soft X-ray emission from PNe is considered. It is found that soft
X-rays originate mainly from the thin interface between the hot bubble and the
actual nebula.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 14:11:01 GMT""}]","2007-05-23"
"astro-ph/9410085","Fred Rasio","F. A. Rasio and S. L. Shapiro","Hydrodynamic Evolution of Coalescing Compact Binaries","to appear in Compact Stars in Binaries, proceedings of IAU Symposium
  165, ed. E. P. J. van den Heuvel, 12 pages, uuencoded compressed postscript,
  IAS preprint AST 94/55",,,,"astro-ph",,"  In addition to their possible relevance to gamma-ray bursts, coalescing
binary neutron stars have long been recognized as important sources of
gravitational radiation that should become detectable with the new generation
of laser interferometers such as LIGO. Hydrodynamics plays an essential role
near the end of the coalescence when the two stars finally merge together into
a single object. The shape of the corresponding burst of gravitational waves
provides a direct probe into the interior structure of a neutron star and the
nuclear equation of state. The interpretation of the gravitational waveform
data will require detailed theoretical models of the complicated
three-dimensional hydrodynamic processes involved. Here we review the results
of our recent work on this problem, using both approximate quasi-analytic
methods and large-scale numerical hydrodynamics calculations on supercomputers.
We also discuss briefly the coalescence of white-dwarf binaries, which are also
associated with a variety of interesting astrophysical phenomena.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 14:12:40 GMT""}]","2007-05-23"
"astro-ph/9410088","Martin White","M.White and E.Bunn (CfPA)","A First Map of the CMB at 0.5Deg Resolution","5 pages plus 3 postscript figures, uuencoded compressed postscript,
  CfPA-94-TH-54","Astrophys.J.443:L53-L56,1995","10.1086/187834",,"astro-ph",,"  We use a Maximum Entropy technique to reconstruct a map of the microwave sky
near the star Gamma Ursae Minoris, based on data from flights 2, 3 and 4 of the
Millimeter-wave Anisotropy eXperiment (MAX).
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 04:30:58 GMT""}]","2009-10-22"
"cmp-lg/9410029","B. Srinivas","Aravind K. Joshi and B. Srinivas (University of Pennsylvania)","Disambiguation of Super Parts of Speech (or Supertags): Almost Parsing","ps file. 8 pages","Proceedings of the 15th International Conference on Computational
  Linguistics (COLING 94), Kyoto, Japan, August 1994",,,"cmp-lg cs.CL",,"  In a lexicalized grammar formalism such as Lexicalized Tree-Adjoining Grammar
(LTAG), each lexical item is associated with at least one elementary structure
(supertag) that localizes syntactic and semantic dependencies. Thus a parser
for a lexicalized grammar must search a large set of supertags to choose the
right ones to combine for the parse of the sentence. We present techniques for
disambiguating supertags using local information such as lexical preference and
local lexical dependencies. The similarity between LTAG and Dependency grammars
is exploited in the dependency model of supertag disambiguation. The
performance results for various models of supertag disambiguation such as
unigram, trigram and dependency-based models are presented.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 17:21:53 GMT""}]","2008-02-03"
"cmp-lg/9410030","B. Srinivas","B.A. Hockey and B. Srinivas (University of Pennsylvania)","Feature-Based TAG in place of multi-component adjunction: Computational
  Implications","ps file. 9 pages","Natural Language Processing Pacific Rim Symposium (NLPRS 93)",,,"cmp-lg cs.CL",,"  Using feature-based Tree Adjoining Grammar (TAG), this paper presents
linguistically motivated analyses of constructions claimed to require
multi-component adjunction. These feature-based TAG analyses permit parsing of
these constructions using an existing unification-based Earley-style TAG
parser, thus obviating the need for a multi-component TAG parser without
sacrificing linguistic coverage for English.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 17:33:45 GMT""}]","2008-02-03"
