"alg-geom/9410001","Victor Batyrev","Victor V. Batyrev and Dimitrios I. Dais","Strong McKay Correspondence, String-theoretic Hodge Numbers and Mirror
  Symmetry","42 pages, Latex",,,,"alg-geom hep-th math.AG",,"  In the revised version of the paper, we correct misprints and add some new
statements.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 20:42:03 GMT""},{""version"":""v2"",""created"":""Tue, 22 Nov 1994 22:27:36 GMT""}]","2008-02-03"
"alg-geom/9410002","David Reed","David Reed","Topology of Conjugate Varieties","LATEX, 27 pages",,,,"alg-geom math.AG",,"  Serre and Abelson have produced examples of non-homeomorphic conjugate
varieties. We show that if the field of definition of a polarized projective
variety coincides with its field of moduli then all of its conjugates have the
same topological type. This extends the class of varieties known to posses
conjugacy invariant to canonically embedded varieties. We also show that normal
complete interswections in homogeneous varieties have this property.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 10:25:57 GMT""}]","2008-02-03"
"alg-geom/9410003","Valery Alexeev","Valery Alexeev","Moduli spaces $M_{g,n}(W)$ for surfaces","21 pages, written in AMS-LaTeX",,,,"alg-geom math.AG",,"  We construct and prove the projectiveness of the moduli spaces which are
natural generalizations to the case of surfaces of the following:
  1) $M_{g,n}$, the moduli space of $n$-marked stable curves,
  2) $M_{g,n}(W)$, the moduli space of $n$-marked stable maps to a variety $W$.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 11:27:39 GMT""}]","2015-06-30"
"astro-ph/9410012","Roeland Van Der Marel","Roeland P. van der Marel","Black holes in galactic nuclei: the dynamical evidence","To appear in Highlights of Astronomy, Vol. 10, Proc. of the XXIInd
  General Assembly of the IAU, The Hague, August 1994, ed.~J.~Bergeron, Kluwer
  Academic Publishers. Format : 4 pages, no figures, PostScript file",,,"Institute for Advanced Study, Princeton, IASSNS-AST 94/49","astro-ph",,"  The dynamical evidence for black holes (BHs) in galactic nuclei is reviewed,
with emphasis on recent improvements in spatial resolution, methods for
analyzing galaxy spectra and dynamical modeling. M31, M32 and M87 are discussed
in some detail.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 18:43:48 GMT""}]","2007-05-23"
"astro-ph/9410013","C. Ian Short","C. I. Short and J. B. Lester","Missing Opacity in the Atmospheric Models of Red Giants","8 pages, DDO 94-1720",,"10.1086/187658",,"astro-ph",,"  Synthetic spectra of Arcturus computed with the latest theoretical stellar
atmospheres disagree strongly with both the spectral energy distribution and
with the spectroscopic data for $\lambda < 4000$ \AA , even though the stellar
parameters are well constrained. We find that the discrepancy can be removed by
adding a continuous absorption opacity that is approximately equal to that
which is already included in the {\sc atlas9} code. Spectroscopy of other
  K2 III stars shows that the spectrum of Arcturus in not anomalous. Therefore,
missing opacity may be a common feature of the models for stars in this
temperature and luminosity range.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 22:19:05 GMT""}]","2009-10-22"
"astro-ph/9410014","Yutaka Fujita","Yutaka Fujita and Hideo Kodama","Influence of Cooling Flow and Galactic Motion on the Iron Distribution
  in Clusters of Galaxies","30 pages, uuencoded compressed postscript with figures, YITP/U-94-28",,"10.1086/176289",,"astro-ph",,"  Iron abundance distribution is now known for 12 clusters of galaxies. For
some clusters (e.g. Centaurus) the observed abundance increases toward the
cluster center, while for the others (e.g. Coma and Hydra-A) no significant
inhomogeneity was observed. In order to understand this difference, we
investigate the influence of cooling flow and turbulence produced by galactic
motion on the iron abundance distribution by simple spherical models. We show
that the cooling flow has a significant effect to flatten the iron abundance
distribution if the flow velocity is sufficiently large. Further, by applying
our analysis to the above clusters we show that we can give a systematic
account for the observed variety of the iron abundance distribution
qualitatively.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 04:05:13 GMT""}]","2009-10-22"
"astro-ph/9410015","Krzysztof Jahn","K. Jahn, J. Kaluzny, and S. M. Rucinski","Variable Stars in the Field of the Open Cluster NGC 7789","A&A Suppl. in press, 7 pages, uuencoded compressed PostScript,
  OAUW-94-9",,,,"astro-ph",,"  Fifteen variable stars have been discovered during four nights of monitoring
of NGC 7789. It was possible to determine periods for ten of these variables.
Seven objects are W UMa-type binaries, in this number five are members of the
cluster. Among the remaining variables, there are three further close binaries,
one delta Scuti which is a Blue Straggler in the cluster, and one multi-modal
variable (with indeterminable periods). One of the binaries showed an
eclipse-like event; this binary is a good candidate for determination of masses
of its components at the turn-off point of the cluster.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 07:40:42 GMT""}]","2007-05-23"
"astro-ph/9410016","Philippe Jetzer","F. De Paolis, G. Ingrosso, Ph. Jetzer and M. Roncadelli","A case for a baryonic dark halo","12 pages, latex, Zurich University ZU-TH 18/94 and Pavia University
  FNT-T 94/21","Phys.Rev.Lett. 74 (1995) 14-17","10.1103/PhysRevLett.74.14",,"astro-ph",,"  Recent observations of microlensing events in the Large Magellanic Cloud by
the MACHO and EROS collaborations suggest that an important fraction of the
galactic halo is in the form of Massive Halo Objects (MHO) with mass $\sim 0.1
M_{\odot}$. We outline a scenario in which dark clusters of MHO with mass $\sim
0.1 M_{\odot}$ and $H_2$ molecular clouds form in the halo at galactocentric
distances larger than $\sim$ 10 - 20 kpc, provided baryons are a major
constituent of the halo. Possible signatures of our picture are discussed.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 13:19:54 GMT""}]","2009-10-22"
"chao-dyn/9409007","John D. Crawford","John David Crawford (Department of Physics and Astronomy, University
  of Pittsburgh, Pittsburgh, PA)","Amplitude Equations for Electrostatic Waves: universal singular behavior
  in the limit of weak instability","79 pages (Latex/RevTex), 4 figures available in hard copy from the
  Author (jdc@minerva.phyast.pitt.edu). Paper has been accepted at Physics of
  Plasmas","Phys. Plasmas 2, 97 (1995)","10.1063/1.871120",,"chao-dyn nlin.CD",,"  An amplitude equation for an unstable mode in a collisionless plasma is
derived from the dynamics on the unstable manifold of the equilibrium
$F_0(v)$.\\ The mode eigenvalue arises from a simple zero of the dielectric
$\epsilon_{{k}}(z)$; as the linear growth rate $\gamma$ vanishes, the
eigenvalue merges with the continuous spectrum on the imaginary axis and
disappears. The evolution of the mode amplitude $\rho(t)$ is studied using an
expansion in $\rho$. As $\glim$, the expansion coefficients diverge, but these
singularities are absorbed by rescaling the amplitude:
$\rho(t)\equiv\gamma^2\,r(\gamma t)$. This renders the theory finite and also
indicates that the electric field exhibits trapping scaling $E\sim\gamma^2$.
These singularities and scalings are independent of the specific $F_0(v)$
considered. The asymptotic dynamics of $r(\tau)$ depends on $F_0$ only through
$\exp{i\xi}$ where $d\epsilon_{{k}} /dz=|{\epsilon'_{{k}}}|\exp{-i\xi/2}$.
Similar results also hold for the electric field and distribution function.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 14:13:30 GMT""}]","2009-10-22"
"cmp-lg/9410002","Ralf Steinberger","Ralf Steinberger (UMIST, Manchester, Uk)","Lexikoneintraege fuer deutsche Adverbien (Dictionary Entries for German
  Adverbs)","In German; 10 pages, uuencoded gz-compressed tar file of LaTeX file;
  In: H. Trost (ed), Informatik Xpress 6. Tagungsband der 2. Konferenz
  ""Verarbeitung natuerlicher Sprache"" KONVENS '94, Wien (Austria), September
  1994, pages: 320-329",,,,"cmp-lg cs.CL",,"  Modifiers in general, and adverbs in particular, are neglected categories in
linguistics, and consequently, their treatment in Natural Language Processing
poses problems. In this article, we present the dictionary information for
German adverbs which is necessary to deal with word order, degree modifier
scope and other problems in NLP. We also give evidence for the claim that a
classification according to position classes differs from any semantic
classification.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 18:10:41 GMT""}]","2008-02-03"
"cond-mat/9410008","Rodney Price","Rodney Price, Xuejun Zhu, S. Das Sarma, and P.M. Platzman","Laughlin liquid - Wigner solid transition at high density in wide
  quantum wells","RevTeX 3.0, 3 Postscript figures appended in uuencoded format",,"10.1103/PhysRevB.51.2017",,"cond-mat",,"  Assuming that the phase transition between the Wigner solid and the Laughlin
liquid is first-order, we compare ground-state energies to find features of the
phase diagram at fixed $\nu$. Rather than use the Coulomb interaction, we
calculate the effective interaction in a square quantum well, and fit the
results to a model interaction with length parameter $\lambda$ roughly
proportional to the width of the well. We find a transition to the Wigner solid
phase at high density in very wide wells, driven by the softening of the
interaction at short distances, as well as the more well-known transition to
the Wigner solid at low density, driven by Landau-level mixing.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 16:12:11 GMT""}]","2009-10-22"
