"adap-org/9411001","Christian H. Borgs","C. Borgs (Freie Universitaet Berlin and IAS) and J.T. Chayes (UCLA and
  IAS)","The covariance matrix of the potts model: A random cluster analysis","52 pages, amstex, no figures",,,"UCLA-Math-Phys 9/94","adap-org cond-mat hep-lat nlin.AO",,"  We consider the covariance matrix $G^{mn}(x-y)$ of the d-dimensional q-states
Potts model, rewriting it in terms of the connectivity, the finite-cluster
connectivity and the infinite-cluster covariance in the random cluster repre-
sentation of Fortuin and Kasteleyn. In any of the $q$ ordered phases, we show
that the matrix $G^{mn}(x-y)$ has one tivial eigenvalue 0, one simple eigen-
value $G_{\wir}^{(1)}(x-y)$ and one ($q-2$)-fold degenerate eigenvalue
$G_{\wir}^{(2)}(x-y)$. Furthermore, we identify the eigenvalues both in terms
of representations of the unbroken symmetry group of the model, and in terms of
connectivities and cluster covariances, thereby attributing algebraic signifi-
cance to these stochastic geometric quantities. In addition to establishing the
existence of the correlation lengths $\xi_{\wir}^{(1)}$ and $\xi_{\wir}^{(2)}$
corresponding to $G_{\wir}^{(1)}(x-y)$ and $G_{\wir}^{(2)}(x-y)$, we show that
$\xi_{\wir}^{(1)}(\beta)\geq \xi_{\wir}^{(2)}(\beta)$ for all inverse tempera-
tures $\beta$. For dimension $d=2$ and $q \geq 1$, we establish a duality
relation between $\xi_{\wir}^{(2)}$ and $\xi_{\free}$, the correlation length
of the two-point function with free boundary conditions: We show
$\xi_{\wir}^{(2)}(\beta) = \frac{1}{2} \xi_{\free}(\beta^\ast)$ for all $\beta
\geq \beta_o$, where $\beta^\ast$ is the dual inverse temperature and $\beta_o$
is the self-dual point. In order to prove the above results, we introduce two
new inequalities. The first is similar to the FKG inequality, but holds for
events which are neither increasing nor decreasing, and replaces independence
in the standard percolation model; the second replaces the van den Berg -
Kesten inequality.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 19:39:56 GMT""}]","2008-02-03"
"astro-ph/9411051","Jean-Philippe Beaulieu","J.P. Beaulieu, R. Ferlet, Ph. Grison, A. Vidal-Madjar, J.P. Kneib, E.
  Maurice, L. Prevot, C. Gry, J. Guibert, O. Moreau, F. Tajahmady, E. Aubourg,
  P. Bareyre, S. Brehin, M. Gros, M. Lachieze-Rey, B. Laurent, E. Lesquoy, C.
  Magneville, A. Milsztajn, L. Moscoso, F. Queinnec, J. Rich, M. Spiro, L.
  Vigroux, S. Zylberajch, R. Ansari, F. Cavalier and M. Moniez (EROS project)","Spectroscopic Studies of the Two Eros Candidate Microlensed Stars","5 pages, uuencoded compressed PS file, including 1 figure. submitted
  to Astronomy and Astrophysics, 28 July, 1994",,,,"astro-ph",,"  Low resolution spectroscopy, and UBVRI photometry, have been obtained for the
two EROS microlensing candidates. Radial velocities indicate that both stars
are members of the Large Magellanic Cloud. The spectrum and the colours of
EROS1, the first candidate, reveal that it is a moderately reddened
main-sequence B star with H emission lines. The presence of H absorption lines
seems to be more the signature of a normal star than that of a cataclysmic
variable. As to EROS2, the second candidate, its spectrum and photometry are
those of an unreddened normal main-sequence A star, but it cannot be totally
excluded that they represent those of a nova in the pre-outburst phase.
Although it is not yet possible to exclude intrinsic stellar variations, the
interpretation in terms of microlensing effects remain the most natural one.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 16:08:52 GMT""}]","2007-05-23"
"astro-ph/9411052","Lori Lubin","Jeremiah P. Ostriker, Lori M. Lubin, and Lars Hernquist","Using X-rays to Determine Which Compact Groups are Illusory","12 pages, uuencoded compressed PostScript. Submitted to ApJ","Astrophys.J. 453 (1995) 566","10.1086/187860",,"astro-ph",,"  If the large-scale galaxy distribution is filamentary, as suggested by some
observations and recent hydrodynamical simulations, then lengthwise views of
filaments will apparently produce compact groups (CGs) that are in reality
stretched out along the line of sight. This possibility has been advocated
recently by Hernquist, Katz \& Weinberg (1994). Here, we propose a test for
this hypothesis using X--ray emission from CGs. The observable quantity $Q
\equiv L_{x} a_{p}^{3}/L_{g}^2 T_{x}^{1/2}$ should be proportional to the axis
ratio of the group, $a/c$, where $a$ and $c$ are the long and short axis of a
prolate distribution, $a_p$ is the radius of the group projected onto the sky,
$L_{x}$ is the bolometric X-ray luminosity, $L_{g}$ is the group blue
luminosity, and $T_{x}$ is the gas temperature. We find that the distribution
of $Q$ is consistent with the notion that many spiral-rich CGs with unusually
small values of ($a/c)$ are frauds, i.e. that the values of $Q$ are anomalously
small. An alternative possibility is that CGs are gas-poor relative to rich
clusters; however, this can be tested using the Sunyaev-Zeldovich effect. If
the groups have a normal ratio of gas-to-total mass, but are simply stretched
out along the line of sight, a Sunyaev-Zeldovich signal should be detectable.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 17:09:39 GMT""}]","2009-10-22"
"astro-ph/9411053","Peter Morley","P.D. Morley and Ivan Schmidt","Platelet Collapse Model of Pulsar Glitches","Figures available by sending request to Ivan Schmidt:
  ischmidt@schmidt.fis.utfsm.cl","Europhys.Lett.33:105-109,1996","10.1209/epl/i1996-00306-3","USM-TH-64","astro-ph",,"  A platelet collapse model of starquakes is introduced. It displays
self-organized criticality with a robust power-law behavior. The simulations
indicate a near-constant exponent, whenever scaling is present.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 16:35:00 GMT""}]","2010-12-17"
"astro-ph/9411054","Avi Loeb","Abraham Loeb and Daniel J. Eisenstein (Harvard Univ.)","Probing Early Clustering with Lyman-Alpha Absorption Lines Beyond the
  Quasar Redshift","28 pages, uuencoded compressed Postscript, 5 figures included. Final
  version, accepted to the Astrophysical Journal (7/20/95 issue)","Astrophys.J. 448 (1995) 17","10.1086/175938","CfA Preprint No. 4030","astro-ph",,"  Groups and clusters of galaxies hosting a quasar can be found through the
detection of Lyman-alpha absorption lines beyond the quasar redshift. The
effect occurs whenever the distortion to the redshift distribution of
Lyman-alpha clouds induced by the cluster potential extends beyond the
proximity effect of the quasar. Based on CDM cosmological models for the
evolution of structure, we predict the probability for finding lines beyond the
quasar redshift ($z_{abs}>z_Q$) under the assumption that the physical
properties of Lyman-alpha clouds are not affected by flows on large scales (1
Mpc and more) in the quasi-linear regime. If quasars randomly sample the
underlying galaxy distribution, the expected number of lines with $z_{abs}>z_Q$
per quasar can be as high as 0.25[(dN/dz)/350] at $z=2$, where $dN/dz$ is the
number of Lyman-alpha lines per unit redshift far from the quasar. The
probability is enhanced if quasars typically reside in small groups of
galaxies. A statistical excess of Lyman-alpha lines is expected near very dim
quasars or around metal absorption systems. Due to clustering, the standard
approach to the proximity effect overestimates the ionizing background flux at
high redshifts by up to a factor of 3. This result weakens the discrepancy
between the deduced background flux and the contribution from known populations
of quasars.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 20:14:36 GMT""},{""version"":""v2"",""created"":""Wed, 8 Feb 1995 17:30:13 GMT""}]","2009-10-22"
"astro-ph/9411055",,"I.A.Trifalenkov","Statistical properties of the faint early-type galaxies sample: possible
  effects of evolution","pages, 0 figures, latex",,,,"astro-ph",,"  Early-type galaxies from CfA catalogue were assotiated with IRAS FSC sources.
In given sample IR and optical properties were used to obtain some
classification of these objects. The existance of significant classes can be
evidence of presence one main type of the dust in each galaxy. Physical
interpretation of obtained classes was discussed. The dust mass in two classes
of galaxies can be calculated using evolution modelling. In this case we can
obtain a estimations for chemical composition and initial mass function in
these galaxies.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 14:09:41 GMT""}]","2007-05-23"
"astro-ph/9411056","Garrelt Mellema","Frits Eulderink and Garrelt Mellema","General Relativistic Hydrodynamics with a Roe solver","34 pages, uuencoded compressed Postscript, no figures; for figures
  contact gam@ast.ma.umist.ac.uk; accepted by A&A Suppl.Ser.; also available in
  ftp://axp1.ast.man.ac.uk/outgoing/gm/aa_GRRoe.v2.ps.Z and
  http://saturn.ma.umist.ac.uk/Preprints2.html",,,,"astro-ph",,"  We present a numerical method to solve the equations of general relativistic
hydrodynamics in a given external gravitational field. The method is based on a
generalization of Roe's approximate Riemann solver for the non relativistic
Euler equations in Cartesian coordinates. The new method is applied to a set of
standard test problems for general relativistic hydrodynamics, and is shown to
perform well in comparison to existing numerical schemes. In contrast to
existing explicit methods the present method can cope with strong relativistic
shocks. By-products are: the characteristic form of the general relativistic
Euler equations, a numerical method for special relativity that can deal with
strong discontinuities, a numerical scheme for the integration of the Euler
equations in an arbitrary coordinate system, possibly under the influence of
(external) gravity, and a novel method to incorporate source terms in numerical
schemes.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 15:23:03 GMT""}]","2007-05-23"
"chem-ph/9411009","James Wiggs","James K. Wiggs (Department of Chemistry, University of Washington) and
  Hannes Jonsson (Department of Chemistry, University of Washington)","A Hybrid Decomposition Parallel Implementation of the Car-Parrinello
  Method","Accepted by Computer Physics Communications, latex, 34 pages without
  figures, 15 figures available in PostScript form via WWW at
  http://www-theory.chem.washington.edu/~wiggs/hyb_figures.html",,"10.1016/0010-4655(94)00153-S",,"chem-ph physics.chem-ph",,"  We have developed a flexible hybrid decomposition parallel implementation of
the first-principles molecular dynamics algorithm of Car and Parrinello. The
code allows the problem to be decomposed either spatially, over the electronic
orbitals, or any combination of the two. Performance statistics for 32, 64, 128
and 512 Si atom runs on the Touchstone Delta and Intel Paragon parallel
supercomputers and comparison with the performance of an optimized code running
the smaller systems on the Cray Y-MP and C90 are presented.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 21:53:35 GMT""}]","2009-10-22"
"chem-ph/9411010","James ""F."" Babb","J. F. Babb and A. Dalgarno","Radiative association and inverse predissociation of oxygen atoms","submitted to Phys. Rev. A (Sept. 7., 1994), 19 pages, 4 figures,
  latex (revtex3.0 and epsf.sty)","Phys. Rev. A, vol. 51, 3021 (1995)","10.1103/PhysRevA.51.3021",,"chem-ph physics.chem-ph",,"  The formation of $\mbox{O}_2$ by radiative association and by inverse
predissociation of ground state oxygen atoms is studied using
quantum-mechanical methods. Cross sections, emission spectra, and rate
coefficients are presented and compared with prior experimental and theoretical
results. At temperatures below 1000~K radiative association occurs by approach
along the $1\,{}^3\Pi_u$ state of $\mbox{O}_2$ and above 1000~K inverse
predissociation through the $\mbox{B}\,{}^3\Sigma_u^-$ state is the dominant
mechanism. This conclusion is supported by a quantitative comparison between
the calculations and data obtained from hot oxygen plasma spectroscopy.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 12:52:52 GMT""}]","2008-02-03"
"cond-mat/9411051","Andreas Schadschneider","G. Albertini, V.E. Korepin, and A. Schadschneider","$XXZ$ model as effective Hamiltonian for generalized Hubbard models with
  broken $\eta$-symmetry","Results of previous version are generalized, new title, references
  added. 10 pages, Latex, no figures",,"10.1088/0305-4470/28/10/004","ITP-SB-94-45","cond-mat hep-th nlin.SI solv-int",,"  We consider the limit of strong Coulomb attraction for generalized Hubbard
models with $\eta$-symmetry. In this limit these models are equivalent to the
ferromagnetic spin-1/2 Heisenberg quantum spin chain. In order to study the
behaviour of the superconducting phase in the electronic model under
perturbations which break the $\eta$-symmetry we investigate the ground state
of the ferromagnetic non-critical $XXZ$-chain in the sector with fixed
magnetization. It turns out to be a large bound state of $N$ magnons. We find
that the perturbations considered here lead to the disappearance of the
off-diagonal longe-range order.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 16:56:16 GMT""},{""version"":""v2"",""created"":""Tue, 10 Jan 1995 14:50:55 GMT""}]","2009-10-22"
"cond-mat/9411052","Hermann","J. Bellissard, A. van Elst, H. Schulz-Baldes","The Non-Commutative Geometry of the Quantum Hall Effect","90 pages, latex, uuencoded file including 6 post-script figures; to
  uuencode, execute the file; latex will automatically include the figures in
  the dvi-file",,"10.1063/1.530758",,"cond-mat",,"  We give an overview of the Integer Quantum Hall Effect. We propose a
mathematical framework using Non-Commutative Geometry as defined by A. Connes.
Within this framework, it is proved that the Hall conductivity is quantized and
that plateaux occur when the Fermi energy varies in a region of localized
states.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 18:28:40 GMT""}]","2009-10-22"
