"chao-dyn/9412003","Pierre Collet","P. Collet (Centre de Physique Th'eorique Laboratoire CNRS, Ecole
  Polytechnique, Palaiseau, France.), J. Xin (Department of Mathematics
  University of Arizona Tucson, AZ)","Global Existence and Large Time Asymptotic Bounds of $L^{infty}$
  Solutions of Thermal Diffusive Combustion Systems on $R^{n}$","15 pages, dvi uuencoded",,,"Mittag-Leffler 1994/1995 No 9","chao-dyn nlin.CD",,"  We consider the initial value problem for the thermal-diffusive combustion
systems of the form:
  $u_{1,t}= Delta_{x}u_1 - u_1 u_2^m$, $u_{2,t}= d Delta_{x} u_2 + u_1 u_2^m$,
  $x in R^{n}$, $n geq 1$, $m geq 1$, $d > 1$,
  with bounded uniformly continuous nonnegative initial data. For such initial
data, solutions can be simple traveling fronts or complicated domain walls. Due
to the well-known thermal-diffusive instabilities when $d$, the Lewis number,
is sufficiently away from one, front solutions are potentially chaotic. It is
known in the literature that solutions are uniformly bounded in time in case $d
leq 1$ by a simple comparison argument. In case $d >1$, no comparison principle
seems to apply. Nevertheless, we prove the existence of global classical
solutions and show that the $L^{infty}$ norm of $u_2$ can not grow faster than
$O(log log t)$ for any space dimension. Our main tools are local $L^{p}$
a-priori estimates and time dependent spatially decaying test functions. Our
results also hold for the Arrhenius type reactions.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 10:59:26 GMT""}]","2016-08-31"
"cmp-lg/9412002","Robbin Collier","Robin Collier (Department of Computer Science, University of
  Sheffield, England)","N-Gram Cluster Identification During Empirical Knowledge Representation
  Generation",,,,,"cmp-lg cs.CL",,"  This paper presents an overview of current research concerning knowledge
extraction from technical texts. In particular, the use of empirical techniques
during the identification and generation of a semantic representation is
considered. A key step is the discovery of useful n-grams and correlations
between clusters of these n-grams.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 05:40:54 GMT""}]","2008-02-03"
"cond-mat/9412015","Gaitan Frank","Frank Gaitan","Microscopic Analysis of the Non-Dissipative Force on a Line Vortex in
  Superconductor","abbrev. version of cond-mat/9408025, 4 pages, RevTex, no figures",,"10.1088/0953-8984/7/12/002","IC/94/383","cond-mat",,"  A microscopic analysis of the non-dissipative force F_nd acting on a line
vortex in a type-II superconductor at T=0 is given. All work assumes a charged
BCS superconductor. We first examine the Berry phase induced in the BCS ground
state by movement of the vortex and show how this phase enters into the
hydrodynamic action S_hyd of the condensate. Appropriate variation of S_hyd
gives F_nd and variation of the Berry phase term is seen to contribute the
Magnus force of classical hydrodynamics to F_nd. This analysis confirms in
detail the arguments of Ao and Thouless within the context of the BCS model.
Our Berry phase, in the limit e -> 0, reproduces the Berry phase they obtain
for a neutral superfluid. A second independent determination of F_nd is given
through a microscopic derivation of the continuity equation for the condensate
linear momentum. This yields the acceleration equation for the superflow. The
vortex is seen to act as a momentum sink and the rate of momentum loss yields
F_nd. Both calculations yield the same F_nd and show that the Magnus force
contribution to F_nd is a consequence of the vortex motion and topology.
","[{""version"":""v1"",""created"":""Sun, 4 Dec 1994 19:35:32 GMT""}]","2009-10-22"
"cond-mat/9412016","Diptiman Sen","R. Chitra, Swapan K. Pati, H. R. Krishnamurthy, D. Sen and S.
  Ramasesha","DMRG Studies of the Spin-Half Heisenberg System with Dimerization and
  Frustration","17 pages in tex; figures not included; this published version differs
  significantly from the original, particularly in some numbers","Phys. Rev. B 52 (1995) 6581 - 6587","10.1103/PhysRevB.52.6581",,"cond-mat",,"  Using the density matrix renormalization group technique, we study the ground
state phase diagram and other low-energy properties of an isotropic
antiferromagnetic spin-half chain with both dimerization and frustration, i.e.,
an alternation $\delta$ of the nearest neighbor exchanges and a
next-nearest-neighbor exchange $J_2~$. For $\delta = 0$, the system is gapless
for $J_2 < J_{2c} ~$ and has a gap for $J_2 > J_{2c} ~$ where $J_{2c}~$ is
about $0.241$. For $J_2 = J_{2c}$, the gap above the ground state grows as
$\delta$ to the power $0.667 \pm 0.001$. In the $J_2 - \delta$ plane, there is
a disorder line $2 J_2 + \delta = 1$. To the left of this line, the peak in the
static structure factor $S(q)$ is at $q_{max} = \pi$ (Neel phase), while to the
right of the line, $q_{max}$ decreases from $\pi$ to $\pi / 2$ as $J_2$ is
increased to large values (spiral phase). For $\delta = 1$, the system is
equivalent to two coupled chains as on a ladder and it is gapped for all values
of the interchain coupling.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 06:49:00 GMT""},{""version"":""v2"",""created"":""Fri, 19 Apr 1996 08:10:38 GMT""}]","2009-10-22"
"cond-mat/9412017","Diptiman Sen","Diptiman Sen and R. Chitra","Large-$U$ limit of a Hubbard model in a magnetic field: chiral spin
  interactions and paramagnetism","12 pages, plain TeX, one figure available on request, to appear in
  Phys. Rev. B","Phys. Rev. B 51 (1995) 1922-1925","10.1103/PhysRevB.51.1922",,"cond-mat",,"  We consider the large-$U$ limit of the one-band Hubbard model at half-filling
on a non-bipartite two-dimensional lattice. An external magnetic field can
induce a three-spin chiral interaction at order $1 / U^2 ~$. We discuss
situations in which, at low temperatures, the chiral term may have a larger
effect than the Pauli coupling of electron spins to a magnetic field. We
present a model which explicitly demonstrates this. The ground state is a
singlet with a gap; hence the spin susceptibility is zero while the chiral
susceptibility is finite and paramagnetic.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 07:16:00 GMT""}]","2009-10-22"
"cond-mat/9412018","Giorgio Parisi","Giorgio Parisi (Dip. Fisica, Univ. Roma I)","Complexity in Biology",,,,,"cond-mat hep-th q-bio.MN",,"  We will review some of the theoretical progresses that have been in the study
of complex systems in physics and of their applications to biology.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 08:59:32 GMT""}]","2008-02-03"
"cond-mat/9412019",,"B. Bonnier, Y. Leroyer and E. Pommiers","Random sequential adsorption on a dashed line","14 pages (Latex) + 4 Postscript figures",,"10.1088/0305-4470/28/7/009",,"cond-mat",,"  We study analytically and numerically a model of random sequential adsorption
(RSA) of segments on a line, subject to some constraints suggested by two kinds
of physical situations:
  - deposition of dimers on a lattice where the sites have a spatial extension;
  - deposition of extended particles which must overlap one (or several)
adsorbing sites on the substrate.
  Both systems involve discrete and continuous degrees of freedom, and, in one
dimension, are equivalent to our model, which depends on one length parameter.
When this parameter is varied, the model interpolates between a variety of
known situations : monomers on a lattice, ""car-parking"" problem, dimers on a
lattice. An analysis of the long-time behaviour of the coverage as a function
of the parameter exhibits an anomalous 1/t^2 approach to the jamming limit at
the transition point between the fast exponential kinetics, characteristic of
the lattice model, and the 1/t law of the continuous one.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 10:59:40 GMT""},{""version"":""v2"",""created"":""Thu, 8 Dec 1994 12:51:14 GMT""}]","2016-08-31"
"cond-mat/9412020","Chimera","L.A. Fernandez, E. Marinari and J. J. Ruiz-Lorenzo","Tempering Dynamics and Relaxation Times in the $3D$ Ising Model","10 pages, compressed ps-file (uufiles)","Journal de Physique I (France) 5 (1995)","10.1051/jp1:1995195",,"cond-mat",,"  We discuss the tempering Monte Carlo method, and its critical slowing down in
the $3d$ Ising model. We show that at $T_c$ the tempering does not change the
critical slowing down exponent $z$. We also discuss the exponential slowing
down for the transition from the plus to the minus state in the cold phase, and
we show that tempering reduces it to a power law slowing down. We discuss the
relation of the flip-flop rate to the surface tension for the local dynamical
schemes.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 11:55:54 GMT""}]","2009-10-22"
"cond-mat/9412021","Uwe Tauber","Uwe C. T\""auber, Hongjie Dai, David R. Nelson, and Charles M. Lieber","Coulomb Gap and Correlated Vortex Pinning in Superconductors","10 pages, Revtex, 4 figures appended as uu-encoded postscript files,
  also available as hardcopies from tauber@cmt.harvard.edu","Phys. Rev. Lett. 74 (1995) 5132","10.1103/PhysRevLett.74.5132",,"cond-mat",,"  The positions of columnar pins and magnetic flux lines determined from a
decoration experiment on BSCCO were used to calculate the single--particle
density of states at low temperatures in the Bose glass phase. A wide Coulomb
gap is found, with gap exponent $s \approx 1.2$, as a result of the long--range
interaction between the vortices. As a consequence, the variable--range hopping
transport of flux lines is considerably reduced with respect to the
non--interacting case, the effective Mott exponent being enhanced from $p_0 =
1/3$ to $p_{\rm eff} \approx 0.5$ for this specific experiment.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 15:13:12 GMT""},{""version"":""v2"",""created"":""Fri, 9 Dec 1994 20:19:05 GMT""}]","2009-10-22"
"cond-mat/9412026","Igor Herbut","Igor Herbut (Johns Hopkins University)","Spectral Boundary of Positive Random Potential in a Strong Magnetic
  Field","12 pages, LaTex, 5 figures available upon request, to appear in Phys.
  Rev. B",,"10.1103/PhysRevB.51.9820",,"cond-mat",,"  We consider the problem of randomly distributed positive delta-function
scatterers in a strong magnetic field and study the behavior of density of
states close to the spectral boundary at $E=\hbar\omega_{c}/2$ in both two and
three dimensions. Starting from dimensionally reduced expression of Brezin et
al. and using the semiclassical approximation we show that the density of
states in the Lifshitz tail at small energies is proportio- nal to $e^{f-2}$ in
two dimensions and to $\exp(-3.14f\ln(3.14f/\pi e)/ \sqrt(2me))$ in three
dimensions, where $e$ is the energy and $f$ is the density of scatterers in
natural units.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 13:15:24 GMT""}]","2009-10-22"
"gr-qc/9412013","Dirk Graudenz","Dirk Graudenz (CERN)","On the Space-Time Geometry of Quantum Systems","15 pages (LaTeX); figures are included via epsfig; the corresponding
  postscript files are uuencoded; AMS-fonts are needed",,,"CERN-TH.7516/94","gr-qc hep-th",,"  We describe the time evolution of quantum systems in a classical background
space-time by means of a covariant derivative in an infinite dimensional vector
bundle. The corresponding parallel transport operator along a timelike curve
$\cC$ is interpreted as the time evolution operator of an observer moving along
$\cC$. The holonomy group of the connection, which can be interpreted as a
group of local symmetry transformations, and the set of observables have to
satisfy certain consistency conditions. Two examples related to local
$\mbox{SO}(3)$ and $\mbox{U}(1)$-symmetries, respectively, are discussed in
detail. The theory developed in this paper may also be useful to analyze
situations where the underlying space-time manifold has closed timelike curves.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 11:52:07 GMT""}]","2007-05-23"
