"alg-geom/9403014","Charles Walter","A. D. King and Charles H. Walter","On Chow Rings of Fine Moduli Spaces of Modules","8 pages, LATeX","J. reine angew. Math. 461 (1995), 179-187",,,"alg-geom math.AG",,"  Let $M$ be a complete nonsingular fine moduli space of modules over an
algebra $S$. A set of conditions is given for the Chow ring of $M$ to be
generated by the Chern classes of certain universal bundles occurring in a
projective resolution of the universal $S$-module on $M$. This result is then
applied to the varieties $G_T$ parametrizing homogeneous ideals of $k[x,y]$ of
Hilbert function $T$, to moduli spaces of representations of quivers, and
finally to moduli spaces of sheaves on ${\Bbb P}^2$, reinterpreting a result of
Ellingsrud and Str\o mme.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 15:23:41 GMT""}]","2008-02-03"
"astro-ph/9403039","Gunter Sigl","G. Sigl, D. N. Schramm and P. Bhattacharjee","On the Origin of Highest Energy Cosmic Rays","19 LATEX pages, 3 figures available upon request from G. Sigl
  (sigl@oddjob.uchicago.edu)","Astropart.Phys.2:401-414,1994","10.1016/0927-6505(94)90029-9",,"astro-ph",,"  In this paper we show that the conventional diffusive shock acceleration
mechanism for cosmic rays associated with relativistic astrophysical shocks in
active galactic nuclei (AGNs) has severe difficulties to explain the highest
energy cosmic ray events. We show that protons above around $2\times10^{20}\eV$
could have marginally been produced by this mechanism in an AGN or a rich
galaxy cluster not further away than around $100\Mpc$. However, for the highest
energy Fly's Eye and Yakutsk events this is inconsistent with the observed
arrival directions. Galactic and intergalactic magnetic fields appear unable to
alter the direction of such energetic particles by more than a few degrees. We
also discuss some other options for these events associated with relativistic
particles including pulsar acceleration of high $Z$ nuclei. At the present
stage of knowledge the concept of topological defects left over from the early
universe as the source for such events appears to be a promising option. Such
sources are discussed and possible tests of this hypothesis are proposed.
","[{""version"":""v1"",""created"":""Thu, 17 Mar 1994 18:24:52 GMT""}]","2010-11-01"
"astro-ph/9403040","Robin Tuluie","Robin Tuluie, Richard A. Matzner and Peter Anninos","Anisotropies of the Cosmic Background Radiation in a Reionized Universe","20 pages, LaTeX, 5 figures and 2 color plates available upon request.
  Submitted to ApJ. Replaced with single spaced version with corrected line
  lengths and necessary macro",,"10.1086/175804",,"astro-ph",,"  We trace the evolution of cosmic microwave background photons propagating
through a reionized model universe. The reionization of the intergalactic
medium is achieved by UV photons emitted from the decaying `hot' dark matter
neutrinos. The model universe is represented by a comoving cube through which
we propagate photons and subject them to the Sachs-Wolfe effect and Thomson
scattering off the ionized fraction of the IGM, beginning at z=1900 until the
present z=0. The simulation follows the evolving matter inhomogeneities and
microwave background photons into the present nonlinear regime and yields
temperature maps of the microwave sky as a comoving observer would detect. Our
temperature maps display anisotropies on scales ranging from 2 to 8 degrees
with rms amplitudes ranging from DT/T_{rms} =2.8 to 3.4 times 10^{-5} without
reionization. If we allow the neutrinos to decay and subsequently reionize the
IGM, the level of the temperature anisotropies is reduced to DT/T=0.8 to 1.1
times 10^{-5}. This includes the Doppler shifts suffered by the CMB photons as
they scatter off the moving ionized fraction of the IGM. If, however,
reionization is caused by a late and sudden energy input into the IGM, we find
that some reduction in $\Delta T/T$ occurs, but not enough to make this
scenario consistent with observations. We find that the decaying neutrino
hypothesis is more efficient at reducing primordial anisotropies and generates
smaller Doppler anisotropies than a model reionized via a late and sudden
energy input into the IGM.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 04:09:28 GMT""}]","2009-10-22"
"astro-ph/9403041","Yoshiaki Sofue","Yoshiaki SOFUE","The Fate of the Magellanic Stream","Plain-Tex text 10 pages, to appear in PASJ (Note), Univ. Tokyo Astro.
  Preprint No. 94-07 (Figures upon request)",,,,"astro-ph",,"  We show that HI clouds in the Magellanic Clouds are stripped by the
ram-pressure due to the halo and disk gases of the Galaxy. Molecular clouds are
swept to the edge of the LMC, showing an eccentric distribution. The stripped
HI clouds form a narrow band on the sky, and mimics the Magellanic Stream, when
the LMC takes a polar orbit. We point out that the Magellanic Stream will fall
into the Galaxy, and will be finally accreted by the Galactic disk. The
accretion may cause warping of the inner gas disk of the Galaxy. Some clouds
are accreted by the nuclear disk, which could explain the peculiar distribution
and kinematics in the central region. The stripping of the interstellar gas
from the Magellanic Clouds will rapidly change their morphological type into
dwarf ellipticals.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 04:19:32 GMT""}]","2007-05-23"
"cond-mat/9403067","John Hernandez","P. Tarazona, E. Chacon, and J. P. Hernandez","Simple model for the phase coexistence and electrical conductivity of
  alkali fluids","RevTex, 11 pages, 2 ps figure files appended, submitted to PRL",,"10.1103/PhysRevLett.74.142",,"cond-mat",,"  We report the first theoretical model for the alkali fluids which yields a
liquid-vapor phase coexistence with the experimentally observed features and
electrical conductivity estimates which are also in accord with observations.
We have carried out a Monte Carlo simulation for a lattice gas model which
allows an integrated study of the structural, thermodynamic, and electronic
properties of metal-atom fluids. Although such a technique is applicable to
both metallic and nonmetallic fluids, non-additive interactions due to valence
electron delocalization are a crucial feature of the present model.
","[{""version"":""v1"",""created"":""Thu, 17 Mar 1994 16:01:59 GMT""}]","2009-10-22"
"cond-mat/9403068","Mr N. Allsop","N.K. Allsopp and C.J. Lambert","Coherent Transport Through a Quantum Trombone","Tex. 4 figures available on request to: pyb064@cent1.lancs.ac.uk
  (Nick Allsopp)",,,,"cond-mat",,"  We highlight a new ""transverse"" interference effect, arising from the
coupling between electrons and holes, induced by a superconducting island in
contact with a normal metal. As an example we compute the electrical
conductance G of a T-shaped mesoscopic sample, formed by joining a horizontal
bar of normal metal to a vertical leg of the same material. With a
superconducting island located on the vertical leg and the current flowing
horizontally, we examine the dependence of G on the distance L of the island
from the horizontal bar.
  Of particular interest is the differential conductance G(E) at an applied
voltage E=eV, which due to quantum interference between electrons and Andreev
reflected holes, is predicted to oscillate with both L and E. For a system with
a spherical Fermi surface, the period of oscillation with E is 3.142 (E_F/k_FL)
and with L is 3.142 (E_F/k_F E), where E_F is the Fermi energy and k_F the
Fermi wavevector.
","[{""version"":""v1"",""created"":""Thu, 17 Mar 1994 20:05:58 GMT""}]","2007-05-23"
"cond-mat/9403069","Shoudan Liang","Shoudan Liang and Hanbin Pang","Can Density-matrix renormalization group be Applied to two dimensional
  systems?","Revtex, 12 pages, 2 figures avaible from the authors",,,,"cond-mat",,"  In order to extend the density-matrix renormalization-group (DMRG) method to
two-dimensional systems, we formulate two alternative methods to prepare the
initial states. We find that the number of states that is needed for accurate
energy calculations grows exponentially with the linear system size. We also
analyze how the states kept in the DMRG method manage to preserve both the
intrablock and interblock Hamiltonians, which is the key to the high accuracy
of the method. We also prove that the energy calculated on a finite cluster is
always a variational upper bound.
","[{""version"":""v1"",""created"":""Thu, 17 Mar 1994 23:21:51 GMT""}]","2007-05-23"
"cond-mat/9403070","Roland Fehrenbacher","R. Fehrenbacher and M.R. Norman","Gap Renormalization in Dirty Anisotropic Superconductors: Implications
  for the Order Parameter of the Cuprates","12 pages, uuencoded Postscript",,"10.1103/PhysRevB.50.3495",,"cond-mat",,"  We contrast the effects of non-magnetic impurities on the properties of
superconductors having a \dw\ order parameter, and a highly anisotropic s-wave
(ASW) gap with the same nodal structure. The non-vanishing, impurity induced,
off-diagonal self-energy in the ASW state is shown to gap out the low energy
excitations present in the clean system, leading to a qualitatively different
impurity response of the single particle density of states compared to the \dw\
state. We discuss how this behaviour can be employed to distinguish one state
from the other by an analysis of high-resolution angle-resolved photoemission
spectra.
","[{""version"":""v1"",""created"":""Thu, 17 Mar 1994 23:05:50 GMT""}]","2009-10-22"
"gr-qc/9403033","Clifford M. Will","Clifford M. WILL","Gravitational Waves from Inspiralling Compact Binaries: A Post-Newtonian
  Approach","16 pages, WUGRAV-94-3",,,,"gr-qc",,"  Inspiralling binary systems of neutron stars or black holes are promising
sources of gravitational radiation detectable by large-scale laser
interferometric gravitational observatories, such as the US LIGO and
Italian-French VIRGO projects. Accurate theoretical gravitational-waveform
templates will be needed to carry out matched filtering data analysis of the
detectors' output once they are on the air by the end of this decade. For all
but the final, strongly general relativistic coalescence of the two bodies,
high-order post-Newtonian methods are playing a major role in the theorists'
efforts to develop the needed templates. This paper discusses the foundations
of this method, and provides a compendium of useful formulae and results.
Figures available upon request. (Invited talk given at the 8th
Nishinomiya-Yukawa Memorial Symposium, October 28, 1993.)
","[{""version"":""v1"",""created"":""Thu, 17 Mar 1994 21:46:13 GMT""}]","2009-09-25"
"gr-qc/9403034","Hans-Juergen Matschull","Hans-Juergen Matschull","About Loop States in Supergravity","LaTeX, 20 pages, DESY-94-037","Class.Quant.Grav.11:2395-2410,1994","10.1088/0264-9381/11/10/002",,"gr-qc",,"  The Wilson loop functionals in terms of Ashtekar's variables were the first
(formal) solutions to the quantized hamiltonian constraint of canonical
gravity. Here it is shown that the same functionals also solve the supergravity
constraints and some evidence is presented that they are artificially generated
by multiplying the constraints by the metric determinant, which has become a
widely accepted procedure. Using the same method in 2+1 dimensional gravity and
supergravity leads to wrong results, e.g.~2+1 gravity is no longer a purely
topological theory. As another feature of the densitized constraints it turns
out that the classical theory desribed by them is not invariant under space
time diffeomorphisms.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 11:17:40 GMT""}]","2010-04-06"
"gr-qc/9403035",,"I. G. Avramidi","Covariant algebraic calculation of the one-loop effective potential in
  non-Abelian gauge theory and a new approach to stability problem","14 pages, LATeX, University of Greifswald (1994)","J.Math.Phys. 36 (1995) 1557-1571","10.1063/1.531139",,"gr-qc hep-th",,"  We use our recently proposed algebraic approach for calculating the heat
kernel associated with the Laplace operator to calculate the one-loop effective
action in the non-Abelian gauge theory. We consider the most general case of
arbitrary space-time dimension, arbitrary compact simple gauge group and
arbitrary matter and assume a covariantly constant gauge field strength of the
most general form, having many independent color and space-time invariants
(Savvidy type chromomagnetic vacuum) and covariantly constant scalar fields as
a background. The explicit formulas for all the needed heat kernels and
zeta-functions are obtained. We propose a new method to study the vacuum
stability and show that the background field configurations with covariantly
constant chromomagnetic fields can be stable only in the case when more than
one independent field invariants are present and the values of these invariants
differ not greatly from each other. The role of space-time dimension is
analyzed in this connection and it is shown that this is possible only in
space-times with dimensions not less than five $d\geq 5$.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 15:47:46 GMT""}]","2009-10-22"
