"adap-org/9406001",,"S.L. Adler, G.V. Bhanot, J.D. Weckel","Study of a New Neuron","19 pages, 7 figures(not included) available upon request, postscript
  file",,,"IASSNS-HEP-94/40","adap-org nlin.AO q-bio",,"  We study a modular neuron alternative to the McCulloch-Pitts neuron that
arises naturally in analog devices in which the neuron inputs are represented
as coherent oscillatory wave signals. Although the modular neuron can compute
$XOR$ at the one neuron level, it is still characterized by the same
Vapnik-Chervonenkis dimension as the standard neuron. We give the formulas
needed for constructing networks using the new neuron and training them using
back-propagation. A numerical study of the modular neuron on two data sets is
presented, which demonstrates that the new neuron performs at least as well as
the standard neuron.
","[{""version"":""v1"",""created"":""Mon, 20 Jun 1994 19:58:34 GMT""}]","2008-02-03"
"astro-ph/9406057","Brad Gibson","P.Hickson, E.F.Borra, R.Cabanac, R.Content, B.K.Gibson, G.A.H.Walker","Ubc/Laval 2.7-Meter Liquid Mirror Telescope","submitted to Astrophysical Journal Letters, 15 pages + 4 figures,
  uuencoded compressed PostScript, UBC-200694",,"10.1086/187667",,"astro-ph",,"  We report the successful development and operation of a large astronomical
liquid-mirror telescope. Employing a rotating 2.7-meter diameter mirror with a
surface of liquid mercury, the telescope images a half-degree diameter field
centered at the zenith. Located near Vancouver, British Columbia, it is
equipped with a low-noise 2048x2048-pixel CCD detector, operating in TDI mode,
which produces continuous imaging of a 20 arcminute-widestrip of sky with 2
minute integration time. Images with FWHM of 2 arcseconds or less are regularly
obtained. This image quality is limited only by atmospheric seeing and
star-trail curvature. The telescope is equipped with a series of narrow-band
filters, designed to produce 40-point spectral energy distributions from 0.4 to
1.0 microns of all detected objects. These will allow classification and
redshift estimation of approximately 25,000 galaxies and 1,000 quasars to a
limiting magnitude of R~21.
","[{""version"":""v1"",""created"":""Tue, 21 Jun 1994 13:30:30 GMT""}]","2019-08-17"
"astro-ph/9406058",,"V.Castellani & S. Degl'Innocenti","Dwarf Spheroidals and the Evolution of Not-Too-Old Population II Stars","postscript file of 10 pages plus 2 tables 3 figures will be added
  later as postscript file The latex file and the other two not postscript
  figures are available upon request at scilla@vaxfe.fe.infn.it",,,,"astro-ph",,"  Previous evolutionary computations concerning stars with masses in the range
of the ``Red Giants Transition Phase'' are extended to lower metallicities.
Clusters isochrones for two values of the metallicity Z (Z=10E-4, 4E-4) and for
ages down to 1 billion years are presented, discussing selected evolutionary
features characterizing the structure of the stars during both H or He burning
phases. One finds that clusters with Z about equal to 1E-4 an age around 1-2
billion years could be characterized by the occurrence of anomalous He burning
variables at a luminosity of the order of LogL= 2.0-2.2 (in solar units).
","[{""version"":""v1"",""created"":""Tue, 21 Jun 1994 13:29:53 GMT""},{""version"":""v2"",""created"":""Wed, 22 Jun 1994 16:56:11 GMT""}]","2009-09-25"
"astro-ph/9406060","Martin White","Martin White and Douglas Scott","Quoting Experimental Information","5 pages (plain TeX), no figures, to appear in the proceedings of
  ``CMB Anisotropies Two Years After COBE'', CWRU, April 22-24, 1994;
  CfPA-94-TH-28",,,,"astro-ph",,"  There was a question raised at this meeting as to the best way to present the
results of experiments measuring anisotropies in the CMB. Here we will make
some simple comments about the 3 main competing methods and some suggestions.
In particular we will give an over-simplified but hopefully useful method of
comparing GACF numbers with other power spectra, and a simple rule-of-thumb for
converting between the two main conventions.
","[{""version"":""v1"",""created"":""Tue, 21 Jun 1994 07:21:53 GMT""}]","2007-05-23"
"cmp-lg/9406028","Michael Niv","Michael Niv (University of Pennsylvania)","Resolution of Syntactic Ambiguity: the Case of New Subjects","6 pages, LaTeX source","COGSCI-93",,,"cmp-lg cs.CL",,"  I review evidence for the claim that syntactic ambiguities are resolved on
the basis of the meaning of the competing analyses, not their structure. I
identify a collection of ambiguities that do not yet have a meaning-based
account and propose one which is based on the interaction of discourse and
grammatical function. I provide evidence for my proposal by examining
statistical properties of the Penn Treebank of syntactically annotated text.
","[{""version"":""v1"",""created"":""Mon, 20 Jun 1994 19:13:30 GMT""},{""version"":""v2"",""created"":""Mon, 20 Jun 1994 22:58:41 GMT""}]","2008-02-03"
"cmp-lg/9406029","Michael Niv","Michael Niv (University of Pennsylvania)","A Computational Model of Syntactic Processing: Ambiguity Resolution from
  Interpretation","128 pages, LaTeX source compressed and uuencoded, figures separate
  macros: rotate.sty, lingmacros.sty, psfig.tex. Dissertation, Computer and
  Information Science Dept., October 1993","Dissertation, Computer and Information Science Dept. 1993",,"IRCS-93-27","cmp-lg cs.CL",,"  Syntactic ambiguity abounds in natural language, yet humans have no
difficulty coping with it. In fact, the process of ambiguity resolution is
almost always unconscious. But it is not infallible, however, as example 1
demonstrates.
  1. The horse raced past the barn fell.
  This sentence is perfectly grammatical, as is evident when it appears in the
following context:
  2. Two horses were being shown off to a prospective buyer. One was raced past
a meadow. and the other was raced past a barn. ...
  Grammatical yet unprocessable sentences such as 1 are called `garden-path
sentences.' Their existence provides an opportunity to investigate the human
sentence processing mechanism by studying how and when it fails. The aim of
this thesis is to construct a computational model of language understanding
which can predict processing difficulty. The data to be modeled are known
examples of garden path and non-garden path sentences, and other results from
psycholinguistics.
  It is widely believed that there are two distinct loci of computation in
sentence processing: syntactic parsing and semantic interpretation. One
longstanding controversy is which of these two modules bears responsibility for
the immediate resolution of ambiguity. My claim is that it is the latter, and
that the syntactic processing module is a very simple device which blindly and
faithfully constructs all possible analyses for the sentence up to the current
point of processing. The interpretive module serves as a filter, occasionally
discarding certain of these analyses which it deems less appropriate for the
ongoing discourse than their competitors.
  This document is divided into three parts. The first is introductory, and
reviews a selection of proposals from the sentence processing literature. The
second part explores a body of data which has been adduced in support of a
theory of structural preferences --- one that is inconsistent with the present
claim. I show how the current proposal can be specified to account for the
available data, and moreover to predict where structural preference theories
will go wrong. The third part is a theoretical investigation of how well the
proposed architecture can be realized using current conceptions of linguistic
competence. In it, I present a parsing algorithm and a meaning-based ambiguity
resolution method.
","[{""version"":""v1"",""created"":""Mon, 20 Jun 1994 19:57:34 GMT""}]","2008-02-03"
"cmp-lg/9406030","Michael Niv","Michael Niv (Technion)","The complexity of normal form rewrite sequences for Associativity","5 pages",,,"Computer Science Department, LCL 94-6","cmp-lg cs.CL",,"  The complexity of a particular term-rewrite system is considered: the rule of
associativity (x*y)*z --> x*(y*z). Algorithms and exact calculations are given
for the longest and shortest sequences of applications of --> that result in
normal form (NF). The shortest NF sequence for a term x is always n-drm(x),
where n is the number of occurrences of * in x and drm(x) is the depth of the
rightmost leaf of x. The longest NF sequence for any term is of length
n(n-1)/2.
","[{""version"":""v1"",""created"":""Mon, 20 Jun 1994 20:29:54 GMT""},{""version"":""v2"",""created"":""Mon, 20 Jun 1994 23:04:06 GMT""}]","2008-02-03"
"cmp-lg/9406031","Michael Niv","Michael Niv (Technion)","A Psycholinguistically Motivated Parser for CCG","8 pages, LaTeX, requires psfig.tex, 2 figures in separate file","ACL-94",,,"cmp-lg cs.CL",,"  Considering the speed in which humans resolve syntactic ambiguity, and the
overwhelming evidence that syntactic ambiguity is resolved through selection of
the analysis whose interpretation is the most `sensible', one comes to the
conclusion that interpretation, hence parsing take place incrementally, just
about every word. Considerations of parsimony in the theory of the syntactic
processor lead one to explore the simplest of parsers: one which represents
only analyses as defined by the grammar and no other information.
  Toward this aim of a simple, incremental parser I explore the proposal that
the competence grammar is a Combinatory Categorial Grammar (CCG). I address the
problem of the proliferating analyses that stem from CCG's associativity of
derivation. My solution involves maintaining only the maximally incremental
analysis and, when necessary, computing the maximally right-branching analysis.
I use results from the study of rewrite systems to show that this computation
is efficient.
","[{""version"":""v1"",""created"":""Mon, 20 Jun 1994 22:18:26 GMT""}]","2008-02-03"
"cmp-lg/9406032","Guenther Goerz","Guenther Goerz (University of Erlangen-Nuernberg, IMMD VIII) and
  Marcus Kesseler (University of Erlangen-Nuernberg, IMMD VIII)","Anytime Algorithms for Speech Parsing?","5 pages, 2 figures","COLING-94",,,"cmp-lg cs.CL",,"  This paper discusses to which extent the concept of ``anytime algorithms''
can be applied to parsing algorithms with feature unification. We first try to
give a more precise definition of what an anytime algorithm is. We arque that
parsing algorithms have to be classified as contract algorithms as opposed to
(truly) interruptible algorithms. With the restriction that the transaction
being active at the time an interrupt is issued has to be completed before the
interrupt can be executed, it is possible to provide a parser with limited
anytime behavior, which is in fact being realized in our research prototype.
","[{""version"":""v1"",""created"":""Tue, 21 Jun 1994 13:21:13 GMT""}]","2008-02-03"
"cond-mat/9406082","Ton Coolen","A.C.C. Coolen and S. Franz","Closure of Macroscopic Laws in Disordered Spin Systems: A Toy Model","14 pages, LateX, OUTP-94-24S",,"10.1088/0305-4470/27/21/011",,"cond-mat",,"  We use a linear system of Langevin spins with disordered interactions as an
exactly solvable toy model to investigate a procedure, recently proposed by
Coolen and Sherrington, for closing the hierarchy of macroscopic order
parameter equations in disordered spin systems. The closure procedure, based on
the removal of microscopic memory effects, is shown to reproduce the correct
equations for short times and in equilibrium. For intermediate time-scales the
procedure does not lead to the exact equations, yet for homogeneous initial
conditions succeeds at capturing the main characteristics of the flow in the
order parameter plane. The procedure fails in terms of the long-term temporal
dependence of the order parameters. For low energy inhomogeneous initial
conditions and near criticality (where zero modes appear) deviations in
temporal behaviour are most apparent. For homogeneous initial conditions the
impact of microscopic memory effects on the evolution of macroscopic order
parameters in disordered spin systems appears to be mainly an overall slowing
down.
","[{""version"":""v1"",""created"":""Tue, 21 Jun 1994 07:56:56 GMT""}]","2009-10-22"
"cond-mat/9406083","Carlo Beenakker","C.W.J. Beenakker","Quantum transport in semiconductor-superconductor microjunctions","38 pages, 17 figures (included in version 2)","""Mesoscopic Quantum Physics"", edited by E. Akkermans, G.
  Montambaux, J.-L. Pichard, and J. Zinn-Justin (North-Holland, Amsterdam,
  1995)",,,"cond-mat.mes-hall",,"  Recent experiments on conduction between a semiconductor and a superconductor
have revealed a variety of new mesoscopic phenomena. Here is a review of the
present status of this rapidly developing field. A scattering theory is
described which leads to a conductance formula analogous to Landauer's formula
in normal-state conduction. The theory is used to identify features in the
conductance which can serve as ""signatures"" of phase-coherent Andreev
reflection, i.e. for which the phase coherence of the electrons and the
Andreev-reflected holes is essential. The applications of the theory include a
quantum point contact, quantum dot, weak localization, universal conductance
fluctuations, shot noise, and reflectionless tunneling. This review is based on
lectures at the Les Houches summer school, Session LXI, 1994.
","[{""version"":""v1"",""created"":""Tue, 21 Jun 1994 15:08:53 GMT""},{""version"":""v2"",""created"":""Sat, 10 Sep 2005 15:32:15 GMT""}]","2008-02-03"
