"alg-geom/9404009","Gregory Sankaran","v.A. Gritsenko and G.K. Sankaran","Moduli of abelian surfaces with a $(1,p^2)$ polarisation","8 pages, plain TeX",,,,"alg-geom math.AG",,"  We show that the (compactified) moduli space of abelian surfaces with a
polarisation of type $(1,p^2)$ is of general type for $p \ge 11$, improving a
result of O'Grady.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 11:55:00 GMT""}]","2008-02-03"
"astro-ph/9404044","Thomas Buchert","T. Buchert, A.L. Melott, A.G. Weiss","Optimized Lagrangian Approximations for Modelling Large--Scale Structure
  at Non--Linear Stages","submitted to ApJ.Letters, TeX, 9 pages; for the figures we refer to
  the figures of paper astro-ph/9404018, to be obtained via anonymous ftp to:
  ibm-3.mpa-garching.mpg.de ; directory: pub/aow . #BMW-Lett.#","Muecket et al. (eds) World Scientific (1995) 364-368",,,"astro-ph",,"  We report on a series of tests of Newtonian Lagrangian perturbation schemes
using N--body simulations for various power--spectra with scale--independent
indices in the range $-3$ to $+1$. The models have been evolved deeply into the
non--linear regime of structure formation in order to probe the dynamical and
statistical performance of the Lagrangian perturbation schemes (whose
first--order solution contains as a subset the celebrated
``Zel'dovich--approximation'' (hereafter ZA). These tests reveal properties of
the approximations at stages beyond the obvious validity of perturbation
theory. Recently, another series of tests of different analytical and
semi--numerical approximations for large--scale structure was conducted with
the result that ZA displays the best dynamical performance in comparison with
the N--body simulations, if the initial data were smoothed before evolving the
model, i.e., a truncated form of ZA (TZA). We show in this Letter that the
excellent performance of TZA can be further improved by going to second order
in the Lagrangian perturbation approach. The truncated second--order Lagrangian
scheme provides a useful improvement over TZA especially for negative power
indices, which suggests it will be very useful for modelling standard scenarios
such as ``Cold--'', ``Hot--'' and ``Mixed--Dark--Matter''.
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 20:06:03 GMT""}]","2007-05-23"
"astro-ph/9404049","Gillian Nave","I. G. Nave, S. Johansson, R. C. M. Learner, A. P. Thorne, J. W. Brault","A New Multiplet Table for Fe","13 pages, LaTeX AAS macros. ApJS (in press). 5 tables by FTP from
  130.235.92.170 in pub/iron. LUND-GN-94-2",,,,"astro-ph",,"  We have recorded spectra of iron-neon and iron-argon hollow cathode lamps in
the region 1700A -- 5um (59000 -- 2000cm-1), with Fourier transform (FT)
spectrometers at the National Solar Observatory, Tucson, Arizona, U.S.A. and
Imperial College, London, U.K., and with a high resolution grating spectrograph
at the National Institute of Standards and Technology, Gaithersburg, U.S.A. The
uncertainty of the strongest lines in the FT spectra is <0.002cm-1 (0.2mA at
3000A; 8mA at 2um). Pressure and current-dependent shifts are <0.001cm-1 for
transitions between low lying levels, increasing to 0.006 cm-1 for transitions
between the most highly excited levels. We report 28 new energy levels of Fe I
and revised values of another 818 levels. We have identified 9501 lines as due
to 9759 transitions in Fe I, and these are presented in the form of a new
multiplet table and finding list. This compares with the 5500 lines due to 467
energy levels in the multiplet tables of Moore (1950, 1959). The biggest
increase is in the near ultraviolet and near infra-red, and many of the new
lines are present in the solar spectrum. Experimental log(gf) values are
included where available. A further 125 unidentified lines due to Fe I are
given.
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 17:54:46 GMT""}]","2007-05-23"
"astro-ph/9404050","Gillian Nave","Johansson, G. Nave, M. Geller, A. J. Sauval, N. Grevesse, W. G.
  Schoenfeld, E. S. Chang and C. B. Farmer","Analysis of the 3d6 4s(6D)4f-5g Supermultiplet of Fe I in Laboratory and
  Solar Infrared Spectra","ApJ (in press). 14 pages. LaTeX AAS macros. 6 figures on request from
  gill@ferrum.fysik.lu.se. LUND-GN-94-1",,"10.1086/174333",,"astro-ph",,"  The combined laboratory and solar analysis of the highly-excited
subconfigurations 4f and 5g of Fe I has allowed us to classify 87 lines of the
4f-5g supermultiplet in the spectral region 2545-2585 cm-1. The level structure
of these JK-coupled configurations is predicted by semiempirical calculations
and the quadrupolic approximation. Semiempirical gf-values have been calculated
and are compared to gf values derived from the solar spectrum. The solar
analysis has shown that these lines, which should be much less sensitive than
lower excitation lines to departures from LTE and to temperature uncertainties,
lead to a solar abundance of iron which is consistent with the meteoritic value
(A_Fe = 7.51).
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 18:28:15 GMT""}]","2009-10-22"
"cond-mat/9404065","Frithjof Anders","F.B. Anders and N. Grewe","Perturbational Approach to the Anderson Model: New Results from a
  Post-Nca Treatment","9 pages + 4 postscript figures as uuencoded .gz code appended, LaTeX,
  ( to appear in Europhysics Letters)","Europhys.Lett 26 (1994) 551","10.1209/0295-5075/26/7/013",,"cond-mat",,"  We present selected results from combined analytical and numerical studies of
the Anderson-impurity model within the framework of infinite order perturbation
theory with respect to the hybridization. Our approximation goes considerably
beyond the well known non\-cross\-ing approximation (NCA): The re-summations
include skeleton diagrams up to infinite order of the cross\-ing variety,
including all $1/N^2$ contributions ($N =$ degeneracy of the magnetic state).
We demonstrate, in a comparison with NCA theory, changes in the threshold
behaviour of local propagators, a qualitative improvement of spectral
properties and a clear progress in attaining local Fermi-liquid properties.
Further applications of the post-NCA theory are pointed out.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 07:40:11 GMT""}]","2009-10-22"
"cond-mat/9404066","Kikuchi Macoto","Macoto Kikuchi, Nobuyasu Ito, and Yutaka Okabe (Department of Physics,
  Osaka University Toyonaka 560, Japan)","Statistical Dependence and Related Topics","kikuchi@godzilla.kek.jp; LaTeX, 9 pages, 6 figures; to appear in
  ""Computer Simulations in Condensed Matter Physics VII"", ed. D.P. Landau, K.K.
  Mon and H.B. Sch\""uttler (Springer)",,,"OUCMT-94-2","cond-mat",,"  On the basis of the dynamical interpretation of Monte Carlo simulations, we
discuss the relation of the equilibrium relaxation time, the susceptibility and
the statistical error. We introduce a new quantity called {\it the statistical
dependence time} $\tau_{dep}$, which gives the reduction factor for the
statistical degree of freedom due to the dynamical correlations between the
data. A new method is proposed for calculating equilibrium relaxation time
using $\tau_{dep}$, the method which does not require knowledge of any
time-displaced correlation function. We apply this method to the critical
dynamics of Ising models in two and three dimensions, and estimate the
dynamical critical exponent $z$ precisely. Systematic errors in response
functions due to short simulations are also discussed from the viewpoint of the
statistical dependence.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 08:49:46 GMT""}]","2007-05-23"
"cond-mat/9404067","Liang Chen","M. Azzouz, Liang Chen, and S. Moukouri","Calculation of the singlet-triplet gap of the antiferromagnetic
  Heisenberg Model on the ladder","11pages,6 figures (upon request) Revtex 3.0, Report#CRPS-94-04",,"10.1103/PhysRevB.50.6233",,"cond-mat",,"  The ground state energy and the singlet-triplet energy gap of the
antiferromagnetic Heisenberg model on a ladder is investigated using a mean
field theory and the density matrix renormalization group. Spin wave theory
shows that the corrections to the local magnetization are infinite. This
indicates that no long range order occurs in this system. A flux-phase state is
used to calculate the energy gap as a function of the transverse coupling,
$J_\perp$, in the ladder. It is found that the gap is linear in $J_\perp$ for
$J_\perp\gg 1$ and goes to zero for $J_\perp\to 0$. The mean field theory
agrees well with the numerical results.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 13:29:55 GMT""}]","2009-10-22"
"hep-lat/9404011","Lev N. Shchur","Andrei L. Talapov and Lev N. Shchur","Critical region of the random bond Ising model","11 pages, 16 figures (674 KB) by request to authors:
  talapov@pib1.physik.uni-bonn.de or shchur@cpd.landau.free.net, LITP-94/CP-03",,"10.1088/0953-8984/6/40/020",,"hep-lat cond-mat",,"  We describe results of the cluster algorithm Special Purpose Processor
simulations of the 2D Ising model with impurity bonds. Use of large lattices,
with the number of spins up to $10^6$, permitted to define critical region of
temperatures, where both finite size corrections and corrections to scaling are
small. High accuracy data unambiguously show increase of magnetization and
magnetic susceptibility effective exponents $\beta$ and $\gamma$, caused by
impurities. The $M$ and $\chi$ singularities became more sharp, while the
specific heat singularity is smoothed. The specific heat is found to be in a
good agreement with Dotsenko-Dotsenko theoretical predictions in the whole
critical range of temperatures.
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 23:16:26 GMT""}]","2009-10-22"
"hep-ph/9404307",,"S. Barshay and P. Heiliger","A Transient New Coherent Condition of Matter: The Signal for New Physics
  in Hadronic Diffractive Scattering","25 pages, LaTeX (12 figures, not included). A complete postscript
  file (except figures 1 and 11, which are available upon request) is available
  via anonymous ftp at ttpux2.physik.uni-karlsruhe.de (129.13.102.139) as
  /ttp94-03 /ttp94-03.ps, Local preprint# TTP94-03 (March 1994)","Z.Phys. C64 (1994) 675-682","10.1007/BF01957776",,"hep-ph",,"  We demonstrate the existence of an anomalous structure in the data on the
diffractive elastic scattering of hadrons at high energies and small momentum
transfer. We analyze five sets of experimental data on $p(\overline{p})-p $
scattering from five different experiments with colliding beams, ranging from
the first-- and second--generation experiments at $\sqrt{s} = 53 $ GeV to the
most recent experiments at 546 GeV and at 1800 GeV. All of the data sets
exhibit a localized anomalous structure in momentum transfer. We represent the
anomalous behavior by a phenomenological formula. This is based upon the idea
that a transient coherent condition of matter occurs in some of the
intermediate inelastic states which give rise, via unitarity, to diffractive
elastic scattering. The Fourier--Bessel transform into momentum--transfer space
of a spatial oscillatory behavior of matter in the impact--parameter plane
results in a small piece of the diffractive amplitude which exhibits a
localized anomalous behavior near a definite value of $-t $. In addition, we
emphasize possible signals coming directly from such a new condition of matter
that may be present in current experiments on inelastic processes.
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 16:41:02 GMT""}]","2009-10-28"
"hep-ph/9404308","Waikwok Kwong","Waikwok Kwong and S.P. Rosen","Semi-Empirical Bound on the Chlorinr-37 Solar Neutrino Experiment","Latex, 6 pages + 1 postscript figure (included). UTAPHY-HEP-9","Phys.Rev.Lett.73:369-372,1994","10.1103/PhysRevLett.73.369",,"hep-ph",,"  The Kamiokande measurement of energetic Boron-8 neutrinos from the sun is
used to set a lower bound on the contribution of the same neutrinos to the
signal in the \Chlorine\ experiment. Implications for Beryllium-7 neutrinos are
discussed.
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 16:44:32 GMT""}]","2009-09-25"
"hep-ph/9404309","Andres Schaale","A.A.Bel'kov, A.V.Lanyov, A.Schaale, S.Scherer","Chiral Meson Lagrangians from the QCD Based NJL Model Modified by
  Nonlocal Effects",,,,,"hep-ph",,"  Starting from a QCD inspired bilocal quark interaction we obtain a local
effective meson lagrangian. In contrast to previous local (NJL-like)
approaches, we include nonlocal corrections related to the finite meson size
which we characterize by a small parameter. After bosonization using the
heat-kernel method we predict the structure coefficients of the
Gasser-Leutwyler $p^4$-lagrangian up to first order in this parameter. The
modifications for the $L_i$ coefficients are typically of the order 10-20\%,
except for $L_5$, where we find a stronger nonlocal influence.
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 19:05:33 GMT""}]","2007-05-23"
