"alg-geom/9404010","Robert Friedman","Robert Friedman and Zhenbo Qin","On complex surfaces diffeomorphic to rational surfaces","34 pages, AMS-TeX",,"10.1007/BF01241123","OSU Math 1995-10","alg-geom math.AG math.GT",,"  In this paper we prove that no complex surface of general type is
diffeomorphic to a rational surface, thereby completing the smooth
classification of rational surfaces and the proof of the Van de Ven conjecture
on the smooth invariance of Kodaira dimension.
","[{""version"":""v1"",""created"":""Fri, 22 Apr 1994 18:16:24 GMT""}]","2009-10-22"
"astro-ph/9404056","Peter Meszaros","P. Meszaros and M.J. Rees","Delayed Gev Emission from Cosmological Gamma-Ray Bursts : Impact of a
  Relativistic Wind on External Matter","5 pages, plain TeX","Mon.Not.Roy.Astron.Soc.269:L41,1994","10.1093/mnras/269.1.L41",,"astro-ph",,"  Sudden collapse of a compact object, or coalescence of a compact binary, can
generate an unsteady relativistic wind that lasts for a few seconds. The wind
is likely to carry a high magnetic field; and its Lorentz factor depends on the
extent to which it is 'loaded' with baryons. If the Lorentz factor is $\sim
100$, internal dissipation and shocks in this wind produce a non-thermal
gamma-ray burst, detectable in the range $0.1\MeV \siml E_\gamma \siml
0.1-1\GeV$ out to cosmological distances. The cooled wind ejecta would
subsequently be decelerated by the external medium. The resultant blast wave
and reverse shock can then give rise to a second burst component, mainly
detectable in the GeV range, with a time delay relative to the MeV burst
ranging from minutes to hours.
","[{""version"":""v1"",""created"":""Fri, 22 Apr 1994 17:56:42 GMT""}]","2016-06-08"
"astro-ph/9404057","Tammy Smecker-Hane","T. A. Smecker-Hane, P. B. Stetson, J. E. Hesser and M. D. Lehnert","The Stellar Populations of the Carina Dwarf Spheroidal Galaxy: I. a New
  Color-Magnitude Diagram for the Giant and Horizontal Branches","18 pages, 9 figures, uses AAS LaTex macros, PostScript figures
  available through anonymous ftp, accepted for publication in the Astronomical
  Journal, DAO-tsh94-1","Astron.J. 108 (1994) 507-513","10.1086/117087",,"astro-ph",,"  We report on the first in a series of studies of the Carina dwarf spheroidal
galaxy, a nearby satellite of our Galaxy. Our two major results are: 1) precise
BI photometry ($\sigma_{B-I} \simlt 0.05$ for $V \simlt 22$) for 11,489 stars
in the Carina field, and 2) the detection of two, morphologically distinct,
horizontal branches, which confirms that star formation in Carina occurred in
two well-separated episodes. The old horizontal branch and RR Lyrae instability
strip belong to a > 10 Gyr stellar population, while the populous red-clump
horizontal branch belongs to an approximately 6 Gyr stellar population. We
derive a distance modulus $(m-M)_0=20.09 \pm 0.06$ for Carina from the apparent
magnitudes of the old horizontal branch and the tip of the red giant branch,
and discuss modifications to the previously estimated distance, total
magnitude, and stellar ages. Using the color of the red giant branch, we
estimate the metallicities of the younger and older populations to be [Fe/H] =
-2.0 and -2.2, respectively.
","[{""version"":""v1"",""created"":""Fri, 22 Apr 1994 18:41:18 GMT""}]","2009-10-22"
"astro-ph/9404058","David Weinberg","A. Szomoru, P. Guhathakurta, J. van Gorkom, J. Knapen, D. Weinberg &
  A. Fruchter","The Properties of an HI-Selected Galaxy Sample","24 pages w/o figures, uuencoded postscript. Version w/ figs available
  as compressed postscript file (1 Mb compressed, 20 Mb [!] uncompressed) by
  anon ftp from eku.ias.edu. Directory /pub, file pp_dwarfs.ps.Z. Accepted by
  AJ, IAS preprint AST-94/18",,"10.1086/117086",,"astro-ph",,"  We analyze the properties of a sample of galaxies identified in a 21-cm,
HI-line survey of selected areas in the Perseus-Pisces supercluster and its
foreground void. Twelve fields were observed in the supercluster, five of them
(target fields) centered on optically bright galaxies, and the other seven
(blank fields) selected to contain no bright galaxies. We detected nine
previously uncataloged, gas-rich galaxies, six of them in the target fields. We
also detected HI from seven previously cataloged galaxies in these fields.
Observations in the void covered the same volume as the twelve supercluster
fields at the same HI-mass sensitivity, but no objects were detected. Combining
our HI data with optical broad-band and H-alpha imaging, we conclude that the
properties of HI-selected galaxies do not differ substantially from those of
late-type galaxies found in optical surveys. In particular, the galaxies in our
sample do not appear to be unusually faint for their HI mass, or for their
circular velocity. The previously cataloged, optically bright galaxies in our
survey volume dominate the total HI mass density and cross-section; the
uncataloged galaxies contribute only 19% of the mass and 12% of the
cross-section. Thus, existing estimates of the density and cross-section of
neutral hydrogen, most of which are based on optically-selected galaxy samples,
are probably accurate.
","[{""version"":""v1"",""created"":""Fri, 22 Apr 1994 19:13:30 GMT""}]","2009-10-22"
"chao-dyn/9404002","Michael Youssefmir","Michael Youssefmir and Bernardo Huberman (Dynamics of Computation
  Group, Xerox Palo Alto Research Center, 3333 Coyote Hill Rd., Palo Alto, CA
  94304)","Local Controls for Large Assemblies of Nonlinear Elements","Postscript file with 7 figures, 19 pages, 1.1Mb compressed, 2.9 MB
  uncompressed. Hard Copy available upon request to youssefm@parc.xerox.com",,,,"chao-dyn nlin.CD",,"  We introduce a set of local procedures that are capable of controlling
distributed systems that exhibit complex dynamical behavior. These local
controllers need only perturb local parameters and use local information about
the state of the system. Besides eliminating the wiring and overhead needed for
implementing a central controller, our procedure leads to desired states in
short times. By resoring to a probabalistic dynamical argument, we also show
that there are critical values for the couplings among the nonlinear elements
beyond which the local controllers do not achieve the desired final state.
","[{""version"":""v1"",""created"":""Fri, 22 Apr 1994 18:51:37 GMT""}]","2008-02-03"
"cond-mat/9404075","Satoshi Iso","Satoshi Iso","Long-Distance Universality of Laughlin State and Calogero-Sutherland
  Model","20, UT-676","Mod.Phys.Lett. A9 (1994) 2123","10.1142/S0217732394001982",,"cond-mat",,"  We study the universal long-distance behaviour of the Laughlin state for the
fractional quantum Hall effect and the ground state of the Calogero-Sutherland
model (one dimensional $1/r^2$ interaction model). In particular, it is shown
that these two wave functions coincide exactly when Laughlin state is confined
in a narrow cylinder geometry. The seeming difference of dimensionality is
merely a difference of representation of wave functions. We also give a recipe
to interpret operators acting on states in the lowest Landau level in terms of
the usual one dimensional Fermion operators, which is important for extracting
the Tomonaga-Luttinger liquid behaviour of the edge states.
","[{""version"":""v1"",""created"":""Sat, 23 Apr 1994 11:13:55 GMT""}]","2015-06-25"
"gr-qc/9404041","Jose Pizarro de Sande Lemos","Jose' P. S. Lemos","Cylindrical Black Hole in General Relativity",,"Phys.Lett.B353:46-51,1995","10.1016/0370-2693(95)00533-Q",,"gr-qc",,"  A black hole solution of Einstein's field equations with cylindrical symmetry
is found. Using the Hamiltonian formulation one is able to define mass and
angular momentum for the cylindrical black hole through the corresponding and
equivalent three dimensional theory. The causal structure is analyzed.
Comments: revised version.
","[{""version"":""v1"",""created"":""Sat, 23 Apr 1994 00:40:06 GMT""},{""version"":""v2"",""created"":""Wed, 17 May 1995 01:05:44 GMT""}]","2010-11-01"
"hep-ph/9404324",,"Joseph I. Kapusta and Ajit M. Srivastava","The Proximal Chiral Phase Transition","21 pages (LATEX), 6 figures in postscript (uuencoded, compressed tar
  file included at the end of the paper), NSF-ITP-94-28, NUC-MINN-94/3-T","Phys.Rev. D50 (1994) 5379-5388","10.1103/PhysRevD.50.5379",,"hep-ph nucl-th",,"  We consider the form of the chiral symmetry breaking piece of the effective
potential in the linear sigma model. Surprisingly, it allows for a second local
minimum at both zero and finite temperature. Even though chiral symmetry is not
exact, and therefore is not restored in a true phase transition at finite
temperature, this second minimum can nevertheless mimic many of the effects of
a first order phase transition. We derive a lower limit on the height of the
second minimum relative to the global minimum based on cosmological
considerations; this limit is so weak as to be practically nonexistent. In high
energy nuclear collisions, it may lead to observable effects in Bose-Einstein
interferometry due to domain walls and to coherent pion emission.
","[{""version"":""v1"",""created"":""Fri, 22 Apr 1994 21:22:00 GMT""}]","2009-10-28"
"hep-ph/9404325",,"E. V. Shuryak and L. Xiong","Where the excess photons and dileptons in SPS nuclear collisions come
  from?",,"Phys.Lett. B333 (1994) 316-319; Erratum-ibid. B339 (1994) 334","10.1016/0370-2693(94)90148-1",,"hep-ph nucl-th",,"  Recently the first single photon spectra from CERN energy heavy-ion
collisions were reported by WA80, while NA34/3 and NA38 have obtained the
spectra for dileptons with the mass up to 4-5 GeV. The production rates for
photons and dileptons significantly increase when reactions involving the $A_1$
meson are included. However, with the conventional expansion scenario, the
absolute yields are still significantly smaller than the observed ones. It may
indicate that expansion in the ``mixed state"" takes much more time.
","[{""version"":""v1"",""created"":""Fri, 22 Apr 1994 20:45:34 GMT""}]","2009-10-28"
"hep-ph/9404326",,"I. Zahed","QCD Instantons in Vacuum and Matter","18 Pages","Nucl.Phys. B427 (1994) 561-574","10.1016/0550-3213(94)90640-8","SUNY-NTG-94-22","hep-ph",,"  The singlet coupling to the topological charge density in the instanton
vacuum, causes the instantons and antiinstantons to be screened over distances
of the order of 1/2 fm. Dilute instanton systems behave as a free gas, while
dense instanton systems behave as a plasma. The free gas behaviour is favored
by a density of 1 fm$^{-4}$. Owing to the Higgs mechanism, the $\eta$' mass is
heavy (1100 MeV). The vacuum topological susceptibility is small (0.07
fm$^{-4}$) and consistent with the QCD Ward identity. In the chiral limit, the
singlet screening vanishes, leading to a four dimensional plasma state with a
temperature given by the nonet decay constant $f$ (90 MeV). The phase is Debye
screened. In the presence of matter, the screening is quenched, and a
Kosterlitz-Thouless transition may occur signaling the restoration of the
$U_A(1)$ symmetry. We suggest to use the spatial asymptotics of the static
topological charge correlator together with the topological susceptibility to
probe the interplay between the $U_A(1)$ restoration and the chiral restoration
in finite temperature QCD. The relevance of these results to the bulk
thermodynamics in the instanton vacuum is discussed.
","[{""version"":""v1"",""created"":""Sat, 23 Apr 1994 02:00:18 GMT""}]","2009-10-28"
"hep-ph/9404327","Alexandre Rozanov","V.A. Novikov, L.B. Okun, A.N. Rozanov and M.I. Vysotsky","First Evidence for Electroweak Radiative Corrections from the New
  Precision Data","10 pages, 2 figures, preprint CERN-TH.7217/94","Mod.Phys.Lett.A9:2641-2648,1994","10.1142/S0217732394002483",,"hep-ph",,"  The analysis of the newest data on the leptonic $Z$-decays and $m_W$ appears
to reveal the first manifestations of electroweak radiative corrections.
  In fact, these data differ, at the level of $2\sigma$, from their electroweak
Born values, while they agree, to within $1\sigma$, with the theoretical values
which take the electroweak radiative corrections into account. Previous data
were within $1\sigma$ in agreement with both sets of values.
","[{""version"":""v1"",""created"":""Sat, 23 Apr 1994 12:54:24 GMT""}]","2008-11-26"
