"alg-geom/9404008","Yukari-i","Yukari Ito","Crepant resolution of trihedral singularities","10 pages, Ams-Tex version 2.1, UTMS/94-18 (Dept. of Mathematical
  Science, Univ. of Tokyo)",,,,"alg-geom math.AG",,"  The purpose of this paper is to construct a crepant resolution of quotient
singularities by trihedral groups ( finite subgroups of SL(3,C) of certain type
), and prove that each Euler number of the minimal model is equal to the number
of conjugacy classes. Trihedral singularities are 3-dimensional version of
D_n-singularities, and they are non-isolated and many of them are not complete
intersections. The resolution is similar to one of D_n-singularities. There is
a nice combination of the toric resolution and Calabi-Yau resolution.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 07:28:08 GMT""}]","2008-02-03"
"astro-ph/9404026","Krzysztof Stanek","K.Z. Stanek, M. Mateo, A. Udalski, M. Szymanski, J. Kaluzny, M. Kubiak","Color-Magnitude Diagram Distribution of the Bulge Red Clump Stars -
  Evidence for the Galactic Bar","10 pages, 6 figures, uses AAS LaTeX aaspp.sty macro, PostScript
  figures available through the anonymous ftp or on request, accepted for the
  publication in the ApJL",,"10.1086/187416",,"astro-ph",,"  The color-magnitude diagrams of $\sim 5\times 10^5$ stars obtained for 13
fields towards the Galactic bulge with the OGLE project reveal a well-defined
population of bulge red clump stars. We find that the distributions of the
extinction-adjusted apparent magnitudes of the red clump stars in fields lying
at $l=\pm5\deg$ in galactic longitude differ by $0.37\pm0.025\;mag$. Assuming
that the intrinsic luminosity distribution of the red clump stars is the same
on both sides of the Galactic center, this implies that the distances to the
red clump stars in the two fields differ by a factor of $1.185\pm0.015$. A
plausible explanation of the observed difference in the luminosity distribution
is that the Galactic bulge is a triaxial structure, or bar, which is inclined
to the line of sight by no more than $45\deg$, with the part of the bar at the
positive galactic longitude being closer to us. This agrees rather well with
other studies indicating the presence of the bar in the center of the Galaxy.
Color-magnitude diagram data are accessible over the computer network with
anonymous {\tt ftp}.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 02:39:52 GMT""}]","2009-10-22"
"astro-ph/9404027","Wesley Colley","Wesley N. Colley","Observational Prospects for Extra-Galactic Microlensing Events","13 pages, 11 figures, uses AAS LaTeX aaspp.sty macro, PostScript
  figures available upon request, submitted for publication in the AJ",,"10.1086/117289",,"astro-ph",,"  We consider the feasibility of directly observing gravitational microlensing
in extra-galactic sources, whose stars are not generally resolved. This
precludes use of the simple optical depth to microlensing formulation, which is
applicable only to resolved stars. We, instead, extend this method to consider
observational constraints, such as seeing, sky background and minimum
detectable change in magnitude. Our analysis provides quantitative relations
between these constraints and the expected observational results, event
duration and number of detections per year. We find that an ambitious
ground-based observer should detect several events per year in M31. We also
consider detection of microlensing in visual binary galaxies. We find that,
although these objects may present hundreds of events per year, extremely short
durations would yield poor prospects for observation.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 02:52:58 GMT""}]","2009-10-22"
"astro-ph/9404028","Sangeeta Malhotra","Sangeeta Malhotra","The Vertical Equilibrium of Molecular Gas in the Galactic Disk","25 pages, 37 figures, uses AAS LaTeX aaspp.sty macro, PostScript
  figures available through the anonymous ftp (to astro.princeton.edu and
  change directory to san/Vertical) or on request. Accepted for publication in
  the Astrophysical Journal. Princeton Observatory Preprint POP-553",,"10.1086/174677",,"astro-ph",,"  We examine the vertical structure and equilibrium of the molecular gas layer
in the galactic disk, measuring its scale height and velocity dispersion as a
function of Galactic radius by modeling the CO emission at the tangent points.
The model takes into account emission from a large path length along the line
of sight, corresponding to an interval \Delta R ~ 200-400 pc; and is
parametrized by the scale height of the gas, the centroid in z, the rotation
velocity and the velocity dispersion. This model is then fit to the $^{12}CO$
survey of Knapp et al.(1985) to determine the best fit parameters. The reduced
\chi^2 from fitting the models (considering only the photon statistics) range
from 2 to 19. The main source of error is the `shot noise' due to the small
number of clouds. Simulations using discrete molecular clouds are carried out
to estimate the errors. The scale height of the molecular gas increases with
radius. The velocity dispersion varies from ~ 2 km/s to 11 km/s with a typical
uncertainty of ~3 km/s and shows a monotonic increase with galactic radius. The
midplane mass density of the disk calculated from the scale-height and velocity
dispersion is consistent with the local value \rho_0(R_0) of 0.2 \msun pc^{-3}.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 03:13:11 GMT""}]","2009-10-22"
"astro-ph/9404029","Sangeeta Malhotra","Sangeeta Malhotra","High Altitude Molecular Clouds","13 pages, 20 figures, uses AAS LaTeX aaspp.sty macro, PostScript
  figures available through anonymous ftp (to astro.princeton.edu and change
  directory to san/HAC) or on request. Submitted for publication in the
  Astrophysical Journal. Princeton Observatory Preprint POP-551",,"10.1086/174988",,"astro-ph",,"  A population of molecular clouds with a significantly greater scale height
than that of Giant Molecular Clouds has been identified by examining maps of
the latitude distribution of the $^{12}CO(1-0)$ emission in the first quadrant
of the Galaxy. These clouds are found by identifying emission more than 2.6
times the scale-height away from the galactic midplane (centroid of CO
emission) at the tangent points. Since the distance to the tangent points is
known, we know the height and the sizes of these clouds. They are smaller and
fainter than the GMCs and do not seem to be gravitationally bound. These clouds
have properties similar to the high latitude clouds in the solar neighborhood.
Although they lie outside the molecular cloud layer, the high altitude clouds
are well within the HI layer in the Galaxy and coincide with distinct peaks in
the HI distribution. These clouds represent a galaxy wide population of small
molecular clouds having a larger scale height. They may be clouds in transition
between molecular and atomic phases.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 03:14:23 GMT""}]","2009-10-22"
"astro-ph/9404030","Mary Crone","Mary M. Crone, August E. Evrard, and Douglas O. Richstone","The Cosmological Dependence of Cluster Density Profiles","uuencoded, 22 pages + 13 figs. Astrophysical Journal, in press",,"10.1086/174742",,"astro-ph",,"  We use N-body simulations to study the shape of mean cluster density and
velocity profiles formed via gravitational instability. The dependence of the
final structure on both cosmology and initial density field is examined, using
a grid of cosmologies and scale-free initial power spectra P\propto k^n. For
each model, we stack clusters to define an average density profile in the
non-linear regime. The profiles are well fit by a power law over 99% of the
cluster volume, with a clear trend toward steeper slopes with both increasing n
and decreasing Omega_o. For models with a Omega_o = 0.2, the profile slopes are
consistently higher than those for Omega-1.0. Cluster density profiles are thus
potentially useful cosmological diagnostics. We find no evidence for a constant
density core in any of the models, although the density profiles do tend to
flatten at small radii. Much of the flattening is due to the force softening
required by the simulations, and an attempt is made to recover the unsoftened
profiles assuming angular momentum invariance. The recovered profiles in the
Omega=1 cosmologies are consistent with a pure power law up to the highest
density contrasts (10^6) accessible with our resolution. The low density models
show significant deviations from a power law above density contrasts \sim 10^5.
We interpret this curvature as reflecting the non scale-invariant nature of the
background cosmology in these models.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 15:34:24 GMT""}]","2009-10-22"
"astro-ph/9404031","Maggie Best","Dong Lai, Frederic A. Rasio, and Stuart L. Shapiro","Hydrodynamics of Rotating Stars and Close Binary Interactions:
  Compressible Ellipsoid Models","43 pages, plain TeX file, figures available upon request from
  Best@sns.ias.edu. IAS number AST 94/12",,"10.1086/175036",,"astro-ph",,"  We develop a new formalism to study the dynamics of fluid polytropes in three
dimensions. The stars are modeled as compressible ellipsoids and the
hydrodynamic equations are reduced to a set of ordinary differential equations
for the evolution of the principal axes and other global quantities. Both
viscous dissipation and the gravitational radiation reaction are incorporated.
We establish the validity of our approximations and demonstrate the simplicity
and power of the method by rederiving a number of known results concerning the
stability and dynamical oscillations of rapidly rotating polytropes. In
particular, we present a generalization to compressible fluids of
Chandrasekhar's classical results for the secular and dynamical instabilities
of incompressible Maclaurin spheroids. We also present several applications of
our method to astrophysical problems of great current interest such as the
tidal disruption of a star by a massive black hole, the coalescence of compact
binaries driven by the emission of gravitational waves, and the development of
instabilities in close binary systems.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 15:43:49 GMT""}]","2009-10-22"
"astro-ph/9404032","Elisabete Dalpino","L. Chernin, C. Masson, E.M. Gouveia Dal Pino and W. Benz","Momentum Transfer by Astrophysical Jets","to appear in ApJ, May 1994, only abstract is posted to archive,
  e-mail chernin@ucbast.berkeley.edu to obtain complete paper, Plain TeX, 21
  pages, 9 figures",,"10.1086/174055",,"astro-ph",,"  We have used 3-D smoothed particle hydrodynamical simulations to study the
basic properties of the outflow that is created by a protostellar jet in a
dense molecular cloud. The dynamics of the jet/cloud interaction is strongly
affected by the cooling in the shocked gas behind the bow shock at the head of
the jet. We show that this cooling is very rapid, with the cooling distance of
the gas much less than the jet radius. Thus, although ambient gas is initially
driven away from the jet axis by the high thermal pressure odf the post-shock
gas, rapid cooling reduces the pressure and the outflow subsequently evolves in
a momentum-conserving snowplow fashion. The velocity of the ambient gas is high
in the vicinity of the jet head, but decreases rapidly as more material is
swept up. Thus, this type of outflow produces extremely high velocity clumps of
post shock gas which resemble the features seen in outflows. We have
investigated the transfer of momentum from the jet to the ambient medium as a
function of the jet parameters. We show that a low Mach number (<6) jet slows
down rapidly because it entrains ambient material along its sides. On the other
hand, the beam of a high Mach number jet is separated from the ambient gas by a
low density cocoon of post-shock gas, and this jet transfers momentum to the
ambient medium principally at the bow-shock. In high Mach number jets, as those
from young stellar objects, the dominant interaction is therefore at the bow
shock at the head of the jet.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 14:38:20 GMT""}]","2009-10-22"
"cmp-lg/9404006",,"R.M. CHANDLER-BURNS (Medical College, Autonomous University of Nuevo
  Leon, Monterrey, Mexico)","SPANISH 1992 (S92): corpus-based analysis of present-day Spanish for
  medical purposes","20 pages",,,"RMCB150494","cmp-lg cs.CL",,"  S92 research was begun in 1987 to analyze word frequencies in present-day
Spanish for making speech pathology evaluation tools. 500 2,000-word samples of
children, adolescents and adults' language were input between 1988-1991,
calculations done in 1992; statistical and Lewandowski analyses were carried
out in 1993.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 05:13:26 GMT""}]","2008-02-03"
"cond-mat/9404038","Antonio Murilo","A. M. S. Macedo","Universal Parametric correlations at the soft edge of the spectrum of
  random matrix ensembles","8 pages, written in TeX, Preprint OUTP-94-10S (University of Oxford)",,"10.1209/0295-5075/26/9/001",,"cond-mat",,"  We extend a recent theory of parametric correlations in the spectrum of
random matrices to study the response to an external perturbation of
eigenvalues near the soft edge of the support. We demonstrate by explicit
non-perturbative calculation that the two-point function for level density
fluctuations becomes, after appropriate rescaling, a universal expression.
","[{""version"":""v1"",""created"":""Thu, 14 Apr 1994 17:32:55 GMT""}]","2009-10-22"
"cond-mat/9404039","Antonio Murilo","A. M. S. Macedo","Parametric S-matrix fluctuations in quantum theory of chaotic scattering","4 pages, 1 figure appended, written in REVTeX, Preprint OUTP-94-13S
  (University of Oxford)",,"10.1103/PhysRevE.50.R659",,"cond-mat",,"  We study the effects of an arbitrary external perturbation in the statistical
properties of the S-matrix of quantum chaotic scattering systems in the limit
of isolated resonances. We derive, using supersymmetry, an exact
non-perturbative expression for the parameter dependent autocorrelator of two
S-matrix elements. Universality is obtained by appropriate rescaling of the
physical parameters. We propose this universal function as a new signature of
quantum chaos in open systems.
","[{""version"":""v1"",""created"":""Thu, 14 Apr 1994 17:33:45 GMT""}]","2009-10-22"
