"astro-ph/9407023",,"Ben Moore and Joseph Silk","Dynamical and Observable Constraints on RAMBOs: Robust Associations of
  Massive Baryonic Objects","10 pages, plain Tex, 2 figures can be requested from
  frost@pac2.berkeley.edu, CfPA 94-th-18",,"10.1086/187802",,"astro-ph",,"  If the halo dark matter consists of faint baryonic stars, then these objects
probably formed at an early epoch within large associations with similar
dynamical properties to globular or open clusters. We use the luminosity
function of globular clusters as a function of galactocentric distance to
provide a very strong constraint on the properties of RAMBOs. We show that at
the solar radius, dynamical constraints confine such clusters to a bounded and
narrow parameter space with effective radii between 1 pc and 15 pc,
corresponding to masses between $ \sim 10 -10^4 M_\odot$ and $\sim
10^4-10^6M_\odot$, respectively. Compact and massive clusters are excluded by
these constraints, and therefore cannot provide a heating source capable of
explaining the observed correlation between age and velocity dispersion for
disk stars. Less than 1\% of the halo could be within RAMBOs of mass
$10^7M_\odot$;an order magnitude lower than required in the model proposed by
Wasserman \& Salpeter. Neither the IRAS or ISO infrared satellites have the
capability to detect clusters of brown dwarfs within the dynamically allowed
parameter space. Clusters of white dwarfs that formed a Hubble time ago have a
surface brightness several magnitudes below the sky level; even clusters of low
mass stars at the edge of the main sequence would remain invisible to the
deepest K band surveys to date. We conclude that gravitational microlensing is
the only method capable of constraining the abundance of dark matter in the
form of clusters of stars. Recovering the dynamical properties of RAMBOs will
be very difficult due to their large covering factor and low internal velocity
dispersion.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 16:28:24 GMT""}]","2009-10-22"
"astro-ph/9407024",,"Joseph Silk","Baryonic Dark Matter","17 pages, plain Tex, 2 figures can be requested from
  frost@pac2.berkeley.edu, CfPA 94-th-05",,,,"astro-ph",,"  In the first two of these lectures, I present the evidence for baryonic dark
matter and describe possible forms that it may take. The final lecture
discusses formation of baryonic dark matter, and sets the cosmological context.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 16:38:40 GMT""}]","2009-09-25"
"astro-ph/9407025","Thomas Schramm","T.Schramm and R.Kayser","Radial cluster lensing: A simple differential equation describing arclet
  fields","2 pages, uuencoded, compressed postscript, accepted for publication
  as a Letter in Astronomy and Astrophysics, complete LaTeX-file (using
  Springer A&A macros l-aa.sty) available via anonymous ftp from
  ftp.uni-hamburg.de:/pub/incoming/radial2.tex.gz, will be moved to
  /pub/misc/astronomy/radial2.tex.gz, HH-GRAL-SK-94-01",,,,"astro-ph",,"  Clusters of galaxies acting as gravitational lenses deform the images of
background galaxies. For small galaxies the deformation is determined by the
local properties of the lens (shear, convergence). Small circular shaped
galaxies are seen as small ellipses. The orientation and axial ratio of the
ellipses could then be used to trace the properties of the lens. We introduce
and solve an ordinary homogeneous linear first order differential equation
which describes completely the radial cluster lens. It can be used to
reconstruct the lens mappeing from the measured axial ratios of lensed
background galaxies.
","[{""version"":""v1"",""created"":""Fri, 8 Jul 1994 10:39:46 GMT""}]","2007-05-23"
"chao-dyn/9407003","Gregory J. Chaitin","G.J. Chaitin (IBM Research Division)","The Limits of Mathematics---The Book","270 pages, LaTeX, ignore numerous Overfull hbox too wide errors",,,,"chao-dyn nlin.CD",,"  This is a revised version of the course notes handed to each participant at
the limits of mathematics short course, Orono, Maine, June 1994.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 20:06:26 GMT""}]","2008-02-03"
"cond-mat/9407038",,"Arunava Chakrabarti, S. N. Karmakar and R. K. Moitra","A renormalization group analysis of extended electronic states in 1d
  quasiperiodic lattices","19 pages, 7 figures available on request, LaTeX version 2.09,
  SINP-AKRS94-01",,"10.1103/PhysRevB.50.13276",,"cond-mat",,"  We present a detailed analysis of the nature of electronic eigenfunctions in
one-dimensional quasi-periodic chains based on a clustering idea recently
introduced by us [Sil et al., Phys. Rev. {\bf B 48}, 4192 (1993) ], within the
framework of the real-space renormalization group approach. It is shown that
even in the absence of translational invariance, extended states arise in a
class of such lattices if they possess a certain local correlation among the
constituent atoms. We have applied these ideas to the quasi-periodic
period-doubling chain, whose spectrum is found to exhibit a rich variety of
behaviour, including a cross-over from critical to an extended regime, as a
function of the hamiltonian parameters. Contrary to prevailing ideas, the
period-doubling lattice is shown to support an infinity of extended states,
even though the polynomial invariant associated with the trace map is
non-vanishing. Results are presented for different parameter regimes, yielding
both periodic as well as non-periodic eigenfunctions. We have also extended the
present theory to a multi-band model arising from a quasi-periodically arranged
array of $\delta$-function potentials on the atomic sites. Finally, we present
a multifractal analysis of these wavefunctions following the method of Godreche
and Luck [ C. Godreche and J. M. Luck, J. Phys. A :Math. Gen. {\bf 23},
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 16:09:00 GMT""}]","2009-10-22"
"cond-mat/9407039","Dan Duffy","Adriana Moreo and Daniel Duffy","Hole Pockets in the Doped 2D Hubbard Model","11 pages, 4 postscript figures appended, RevTeX (version 3.0)",,"10.1007/BF00752299",,"cond-mat",,"  The electronic momentum distribution ${\rm n({\bf k})}$ of the two
dimensional Hubbard model is studied for different values of the coupling ${\rm
U/t}$, electronic density ${\rm \langle n \rangle}$, and temperature, using
quantum Monte Carlo techniques. A detailed analysis of the data on $8\times 8$
clusters shows that features consistent with hole pockets at momenta ${\rm {\bf
k}=(\pm {\pi\over{2}},\pm {\pi\over{2}})}$ appear as the system is doped away
from half-filling. Our results are consistent with recent experimental data for
the cuprates discussed by Aebi et al. (Phys. Rev. Lett. {\bf 72}, 2757 (1994)).
In the range of couplings studied, the depth of the pockets is maximum at ${\rm
\langle n \rangle \approx 0.9}$, and it increases with decreasing temperature.
The apparent absence of hole pockets in previous numerical studies of this
model is explained.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 20:47:35 GMT""}]","2009-10-22"
"cond-mat/9407040","Kanhere","Vaishali Shah, Dinesh Nehete and D. G. Kanhere","Ab initio molecular dynamics via density based energy functionals","15 pages, RevTeX 3.0, 3 PS Figures at the end",,"10.1088/0953-8984/6/49/018",,"cond-mat",,"  The use of energy functionals based on density as the basic variable is
advocated for ab initio molecular dynamics. It is demonstrated that the
constraint of positivity of density can be incorporated easily by using square
root density for minimization of the energy functional. An ad hoc prescription
for including nonlocal pseudopotentials for plane wave based calculations is
proposed and is shown to yield improved results. Applications are reported for
equilibrium geometries of small finite systems, viz. dimers and trimers of
simple metal atoms like Na and Mg, which represent a rather stringent test for
approximate kinetic energy functionals involved in such calculations.
","[{""version"":""v1"",""created"":""Fri, 8 Jul 1994 12:19:58 GMT""}]","2009-10-22"
"cond-mat/9407041","Nedko Ivanov","J. Richter, N.B. Ivanov, and K. Retzlaff","On The Violation Of Marshall-Peierls Sign Rule In The Frustrated
  $J_{1}-J_{2}$ Heisenberg Antiferromagnet","8 pages, LaTex, 2 figurs on request","Europhys. Lett. 25 (7), pp.545-550 (1994)","10.1209/0295-5075/25/7/012",,"cond-mat",,"  We present a number of arguments in favor of the suggestion that the
Marshall-Peierls sign rule survives the frustration in the square-lattice
Heisenberg antiferromagnet with frustrating next-nearest-neighbor (diagonal)
bonds ($J_{1}-J_{2}$ model) for relatively large values of the parameter
$J_{2}/J_{1}$. Both the spin-wave analysis and the exact-diagonalization data
concerning the weight of Marshall states support the above suggestion.
","[{""version"":""v1"",""created"":""Fri, 8 Jul 1994 12:29:19 GMT""}]","2009-10-22"
"cond-mat/9407042","Nedko Ivanov","N.B. Ivanov and J. Richter","$J_1-J_2$ Quantum Heisenberg Antiferromagnet: Improved Spin-Wave
  Theories Versus Exact-Diagonalization Data","13 pages, LaTex, 7 figures on request","J. Phys. Condens. Matter 6(1994)3785-3792","10.1088/0953-8984/6/20/018",,"cond-mat",,"  We reconsider the results cocerning the extreme-quantum $S=1/2$
square-lattice Heisenberg antiferromagnet with frustrating diagonal couplings
($J_1-J_2$ model) drawn from a comparison with exact-diagonalization data. A
combined approach using also some intrinsic features of the self-consistent
spin-wave theory leads to the conclusion that the theory strongly overestimates
the stabilizing role of quantum flutcuations in respect to the N\'{e}el phase
in the extreme-quantum case $S=1/2$. On the other hand, the analysis implies
that the N\'{e}el phase remains stable at least up to the limit $J_{2}/J_{1} =
0.49$ which is pretty larger than some previous estimates. In addition, it is
argued that the spin-wave ansatz predicts the existence of a finite range
($J_{2}/J_{1}<0.323$ in the linear spin-wave theory) where the Marshall-Peierls
sigh rule survives the frustrations.
","[{""version"":""v1"",""created"":""Fri, 8 Jul 1994 12:32:07 GMT""}]","2009-10-22"
"dg-ga/9407003","Larry Bates","L. Bates and E. Lerman","Proper group actions and symplectic stratified spaces","25 pages, LaTeX",,,,"dg-ga math.DG",,"  Let $(M,\omega)$ be a Hamiltonian $G$-space with a momentum map $F:M \to
{\frak g}^*$. It is well-known that if $\alpha$ is a regular value of $F$ and
$G$ acts freely and properly on the level set $F^{-1}(G\cdot \alpha)$, then the
reduced space $M_\alpha :=F^{-1}(G\cdot \alpha)/G$ is a symplectic manifold. We
show that if the regularity assumptions are dropped the space $M_\alpha $ is a
union of symplectic manifolds, and that the symplectic manifolds fit together
in a nice way. In other words the reduced space is a {\em symplectic stratified
space}. This extends results known for the Hamiltonian action of compact
groups.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 19:18:10 GMT""}]","2008-02-03"
