"astro-ph/9407074","Yoshiaki Sofue","Yoshiaki Sofue, Ken-ichi Wakamatsu, and David F. Malin","Dark Filaments in the Galaxy NGC 253 - a Boiling Galactic Disk -","12 pages, plain TeX, Univ. Tokyo Astronomy Preprint No. 94-15",,"10.1086/117222",,"astro-ph",,"  We study the morphology of dark lanes and filaments in the dust-rich galaxy
"hep-lat/9407015","Sinya Aoki","S. Aoki, M. Fukugita, S. Hashimoto, N. Ishizuka, H. Mino, M. Okawa, T.
  Onogi and A. Ukawa","Manifestation of Sea Quark Effects in the Strong Coupling Constant in
  Lattice QCD","10 pages + 2 figures(postscript files), Latex files, compressed,
  uuencode tar file, UTHEP-280","Phys.Rev.Lett. 74 (1995) 22-25","10.1103/PhysRevLett.74.22",,"hep-lat",,"  We demonstrate that sea quark effects of a magnitude expected from
renormalization group considerations are clearly visible in the strong coupling
constant measured in current full QCD simulations. Building on this result an
estimate of $\alpha_{\overline{MS}}^{(5)}(M_Z)$ is made employing the
charmonium $1S-1P$ mass splitting calculated on full QCD configurations
generated with two flavors of dynamical Kogut-Susskind quarks to fix the scale.
","[{""version"":""v1"",""created"":""Mon, 25 Jul 1994 02:26:59 GMT""}]","2009-10-22"
"hep-lat/9407016","Masaki Oshikawa","Jun Nishimura and Masaki Oshikawa","Fractal Structure in Two-Dimensional Quantum Regge Calculus","13 pages + 8 figures, LaTeX, UT-683, KEK-TH-401 (double-spacing
  command removed. sorry.)","Phys.Lett. B338 (1994) 187-196","10.1016/0370-2693(94)91365-X",,"hep-lat",,"  We study the fractal structure of the surface in two-dimensional quantum
Regge calculus by performing Monte Carlo simulation with up to 200,000
triangles. The result can be compared with the universal scaling function
obtained analytically in the continuum limit of dynamical triangulation, which
provides us with a definite criterion whether Regge calculus serves as a proper
regularization of quantum gravity. When the scale-invariant measure is taken as
the measure of the link-length integration, we observe the correct scaling
behavior in the data for the type of loop attached to a baby universe. The data
seem to converge to the universal scaling function as the number of triangles
is increased. The data for the type of loop attached to the mother universe, on
the other hand, shows no scaling behavior up to the present size.
","[{""version"":""v1"",""created"":""Mon, 25 Jul 1994 11:10:46 GMT""},{""version"":""v2"",""created"":""Mon, 1 Aug 1994 14:38:52 GMT""}]","2009-10-22"
"hep-lat/9407017",,"M.Baig, H.Fort, JB Kogut, S.Kim","The Phases and Triviality of Scalar Quantum Electrodynamics","25pages,26figures;revtex;ILL-(TH)-94-#12; only hardcopy of figures
  available","Phys.Rev. D51 (1995) 5216-5228","10.1103/PhysRevD.51.5216",,"hep-lat cond-mat hep-ph",,"  The phase diagram and critical behavior of scalar quantum electrodynamics are
investigated using lattice gauge theory techniques. The lattice action fixes
the length of the scalar (``Higgs'') field and treats the gauge field as
non-compact. The phase diagram is two dimensional. No fine tuning or
extrapolations are needed to study the theory's critical behovior. Two lines of
second order phase transitions are discovered and the scaling laws for each are
studied by finite size scaling methods on lattices ranging from $6^4$ through
$24^4$. One line corresponds to monopole percolation and the other to a
transition between a ``Higgs'' and a ``Coulomb'' phase, labelled by divergent
specific heats. The lines of transitions cross in the interior of the phase
diagram and appear to be unrelated. The monopole percolation transition has
critical indices which are compatible with ordinary four dimensional
percolation uneffected by interactions. Finite size scaling and histogram
methods reveal that the specific heats on the ``Higgs-Coulomb'' transition line
are well-fit by the hypothesis that scalar quantum electrodynamics is
logarithmically trivial. The logarithms are measured in both finite size
scaling of the specific heat peaks as a function of volume as well as in the
coupling constant dependence of the specific heats measured on fixed but large
lattices. The theory is seen to be qualitatively similar to $\lambda\phi^{4}$.
The standard CRAY random number generator RANF proved to be inadequate
","[{""version"":""v1"",""created"":""Mon, 25 Jul 1994 15:39:18 GMT""}]","2019-08-17"
"hep-ph/9407363",,"V.A. Litvin, S.R. Slabospitsky","LEP $e^{+}\,e^{-}\,\rightarrow\,\mu^{+}\, \mu^{-}\,\gamma\,\gamma$
  events and their consequences at future $e^+e^-$ colliders","Latex, 10 pages, Preprint IHEP 94-22, Protvino, 1994","Int.J.Mod.Phys.A10:2053-2066,1995","10.1142/S0217751X95000991",,"hep-ph",,"  The $e^{+}\,e^{-}\,\rightarrow\,l^{+}\, \l^{-}\,\gamma\,\gamma$ anomalous
events, detected by $L3$ de\-tec\-tor at $e^+ e^-$ $CERN-LEP$ collider have
been analysed. It has been shown that the interpretation of such events as a
manifestation of scalar (pseudoscalar) resonance with the mass of 60 GeV
contradicts other experimental data. In case of a possible existence that kind
of resonance, the perspectives to discover one in some processes at future
$e^+e^-$ colliders have been discussed.
","[{""version"":""v1"",""created"":""Mon, 25 Jul 1994 14:17:04 GMT""}]","2009-09-25"
"hep-ph/9407364",,"V. A. Litvin, S. R. Slabospitsky, A. V. Shvorob","Anomalous di-photon production at LEP: possible consequences at FNAL
  hadron collider","Latex, BoxedEPSF(send in the beginning of the file), 10 pages, 3
  figures(available upon request for E-mail in paper), Preprint IHEP 94-69,
  Protvino, 1994","Nuovo Cim.A108:249-258,1995","10.1007/BF02816746",,"hep-ph",,"  The hypothetic R--resonance production (anomalous ""$l\bar l\gamma\gamma$""
events at LEP) with 60 GeV mass at FNAL hadron collider has been considered.
The cross-section of this R-resonance production with the consequent decay $R
\to \gamma\gamma$ is obtained. Various distributions of leptons and photons in
the process $p\bar p \to l\bar l R (\to \gamma\gamma) X$ are calculated.
","[{""version"":""v1"",""created"":""Mon, 25 Jul 1994 14:17:34 GMT""}]","2009-09-25"
"hep-ph/9407365",,"L.L. Jenkovszky and B.V. Struminsky","New Measurement of the Single Diffraction Dissociation and the Nature of
  the Nature of the Pomeron","3 p. (EmTex, version 3.0)",,,,"hep-ph",,"  Recent data on single diffraction dissociation, measured by the CDF at the
Tevatron show a moderate increase with energy of the cross section, thus
confirming the predictions based on the dipole pomeron model.
","[{""version"":""v1"",""created"":""Mon, 25 Jul 1994 14:30:38 GMT""}]","2019-08-17"
"hep-th/9407157",,"A. Jadczyk","Particle Tracks, Events and Quantum Theory","22 pages","Prog.Theor.Phys.93:631-646,1995","10.1143/PTP.93.631",,"hep-th",,"  The law of track formation in cloud chambers is derived from the Liouville
equation with a simple Lindblad's type generator that describes coupling
between a quantum particle and a classical, continuous, medium of two--state
detectors. Piecewise deterministic random process (PDP) corresponding to the
Liouville equation is derived. The process consists of pairs (classical
event,quantum jump), interspersed with random periods of continuous (in
general, non--linear) Schroedinger's--type evolution. The classical events are
flips of the detectors -- they account for tracks. Quantum jumps are shown, in
the simplest, homogeneous case, to be identical to those in the early
spontaneous localization model of Ghirardi, Rimini and Weber (GRW). The methods
and results of the present paper allow for an elementary derivation and
numerical simulation of particle track formation and provide an additional
perspective on GRW's proposal
","[{""version"":""v1"",""created"":""Sun, 24 Jul 1994 20:27:06 GMT""},{""version"":""v2"",""created"":""Tue, 26 Jul 1994 14:17:12 GMT""},{""version"":""v3"",""created"":""Mon, 1 Aug 1994 23:45:44 GMT""}]","2011-08-17"
"hep-th/9407159","Shiekh Andy","A.Y. Shiekh","The Perturbative Quantization of Gravity","9 pages, LaTeX (Talk given at the Henri Poincare seminar held at
  Protvino, Russia, Summer 94)","XVII International Workshop on High Energy Physics and Field
  Theory, Protvino, Russia, June 1994",,,"hep-th gr-qc",,"  A suggestion is made for quantizing gravity perturbatively, and is
illustrated for the example of a massive scalar field with gravity.
","[{""version"":""v1"",""created"":""Mon, 25 Jul 1994 09:15:54 GMT""}]","2007-11-15"
"hep-th/9407160","Humitaka Tamura","Keiji Kikkawa and Humitaka Tamura","Dynamical Gauge Field induced by the Berry Phase Mechanism","18 pages and 2 figures(available upon request), OU-HET 192, LaTeX
  file","Int.J.Mod.Phys.A10:1597-1610,1995","10.1142/S0217751X95000760",,"hep-th",,"  Some part of the local gauge symmetries in the low energy region, say, lower
than GUT or the Planck energy can be an induced symmetry describable with the
holonomy fields associated with a topologically non-trivial structure of
partially compactified space. In the case where a six dimensional space is
compactified by the Kaluza-Klein mechanism into a product of the four
dimensional Minkowski space $M_{4}$ and a two dimensional Riemann surface with
the genus $g$, $\Sigma_{g}$, we show that, in a limit where the
compactification mass scale is sent to infinity, a model lagrangian with a U(1)
gauge symmetry produces the dynamical gauge fields in $M_{4}$ with a product of
$g$ U(1)'s symmetry, i.e., U(1)$\times \cdots\times$U(1). These fields are
induced by a Berry phase mechanism, not by the Kaluza-Klein. The dynamical
degrees of freedom of the induced fields are shown to come from the holonomies,
or the solenoid potentials, associated with the cycles of $\Sigma_{g}$. The
production mechanism of kinetic energy terms for the induced fields are
discussed in detail.
","[{""version"":""v1"",""created"":""Mon, 25 Jul 1994 09:36:14 GMT""}]","2010-11-01"
"hep-th/9407161",,"Marialuisa Frau, Alberto Lerda and Stefano Sciuto","Anyons and Deformed Lie Algebras","Lectures given at the Varenna School on ``Quantum Groups and Their
  Applications in Physics'' (June 1994), DFTT 33/94 and DFT-US 2/94, 31 pp. (5
  figures and 1 table on request) LaTex file (the macro subeqn.sty is appended
  at the end the LaTex file)",,,,"hep-th",,"  We discuss the connection between anyons (particles with fractional
statistics) and deformed Lie algebras (quantum groups). After a brief review of
the main properties of anyons, we present the details of the anyonic
realization of all deformed classical Lie algebras in terms of anyonic
oscillators. The deformation parameter of the quantum groups is directly
related to the statistics parameter of the anyons. Such a realization is a
direct generalization of the Schwinger construction in terms of fermions and is
based on a sort of bosonization formula which yields the generators of the
deformed algebra in terms of the undeformed ones. The entire procedure is well
defined on two-dimensional lattices, but it can be consistently reduced also to
one-dimensional chains.
","[{""version"":""v1"",""created"":""Mon, 25 Jul 1994 10:52:22 GMT""}]","2009-09-25"
"hep-th/9407162",,"R. Bonisch","Transition from SU(2)_L x SU(2)_R x U(1)_(B-L) Representation to SU(2)_L
  x U(1)_Y by q-Deformation and the Corresponding Classical Breaking Term of
  Chiral U(2)","DESY 94-129, 12 pages","Annalen Phys. 4 (1995) 345-353","10.1002/andp.19955070407",,"hep-th hep-ph",,"  The minimal Standard Model exhibits a nontrivial chiral U(2) symmetry if the
vev and the hypercharge splitting (Delta) of right-handed leptons (quarks) in a
family vanish and Q=T_0 + Y independently in each helicity sector. As a
generalization, we start with SU(2)_L x SU(2)_R x U(1)_{(B-L)} and introduce
Delta as a continuous parameter which is a measure of explicit symmetry
breakdown. Values of Delta between zero and 1/2 take the neutral generator of
the isospin-1/2 representation to the singlet representation, i.e. `deformes'
the LR representation into the minimal Standard one. The corresponding
classical O(3)-breaking term is a magnetic field perpendicular to the x_3-axis.
A simple mapping on the fundamental Drinfeld-Jimbo q-deformed SU(2)
representation is given.
","[{""version"":""v1"",""created"":""Mon, 25 Jul 1994 13:41:18 GMT""}]","2009-10-28"
"hep-th/9407164","Ramy Brustein","R. Brustein, M. Faux and B. Ovrut","Supersymmetric Field Theory from Supermatrix Models","Latex document, 11 pages, preprint CERN-TH.7353/94, UPR-621T",,,,"hep-th",,"  We show that the continuum limit of one-dimensional N=2 supersymmetric matrix
models can be described by a two-dimensional interacting field theory of a
massless boson and two chiral fermions. We interpret this field theory as a
two-dimensional N=1 supersymmetric theory of two chiral superfields, in which
one of the chiral superfields has a non-trivial vacuum expectation value.
","[{""version"":""v1"",""created"":""Mon, 25 Jul 1994 13:40:27 GMT""}]","2007-05-23"
"math/9407214","Erik Koelink","Erik Koelink","Askey-Wilson polynomials and the quantum SU(2) group: survey and
  applications",,,,"OP-SF 25 Jul 1994","math.QA math.CA",,"  Generalised matrix elements of the irreducible representations of the quantum
$SU(2)$ group are defined using certain orthonormal bases of the representation
space. The generalised matrix elements are relatively infinitesimal invariant
with respect to Lie algebra like elements of the quantised universal enveloping
algebra of $sl(2)$. A full proof of the theorem announced by Noumi and Mimachi
[Proc. Japan Acad. Sci. {\bf 66}, Ser. A (1990), pp. 146--149] describing the
generalised matrix elements in terms of the full four-parameter family of
Askey-Wilson polynomials is given. Various known and new applications of this
interpretation are presented.
","[{""version"":""v1"",""created"":""Mon, 25 Jul 1994 00:00:00 GMT""}]","2016-09-06"
"nucl-th/9407038","Coen van Antwerpen","C. H. M. van Antwerpen and I. R. Afnan","A gauge invariant unitary theory for pion photoproduction",,"Phys.Rev.C52:554-567,1995","10.1103/PhysRevC.52.554",,"nucl-th",,"  The Ward-Takahashi identities are central to the gauge invariance of the
photoproduction amplitude. Here we demonstrate that unitarity and in particular
the inclusion of both the $\pi N$ and $\gamma\pi N$ thresholds on equal footing
yields a photoproduction amplitude that satisfies both two-body unitarity and
the generalized Ward-Takahashi identities. The final amplitude is a solution of
a set of coupled channel integral equations for the reactions $\pi
N\rightarrow\pi N$ and $\gamma N\rightarrow\pi N$. % Figures available from the
authors upon request, % e-mail: phchv@pippin.cc.flinders.edu.au % Submitted to
Physical Review C
","[{""version"":""v1"",""created"":""Mon, 25 Jul 1994 01:28:26 GMT""}]","2009-09-25"
